portal_url	portal_api	portal_id	schedule	frequency
http://udct-data.aigid.jp	http://udct-data.aigid.jp/api	udaijp	* 6 * * 0	10080
http://www.amsterdamopendata.nl	http://data.amsterdamopendata.nl/api	daamnl	* 15 * * 6	10080
http://www.civicdata.io	http://www.civicdata.io/api	wwciio	* 18 * * 5	10080
http://www.daten.rlp.de/	http://www.daten.rlp.de/api	wwdarlde	* 18 * * 5	10080
http://www.nosdonnees.fr/	http://www.nosdonnees.fr/api	wwnofr	* 6 * * 6	10080
http://www.odaa.dk/	http://www.odaa.dk/api	wwoddk	* 1 * * 0	10080
http://www.offene-daten.me	http://www.offene-daten.me/api	wwofme	* 18 * * 5	10080
http://www.opendata-hro.de/	http://www.opendata-hro.de/api	wwopde	* 5 * * 0	10080
http://www.opendatahub.it/	http://www.opendatahub.it/api	wwopit	* 12 * * 0	10080
http://www.opendata.provincia.roma.it/	http://www.opendata.provincia.roma.it/api	wwopprroit	* 14 * * 6	10080
http://www.openumea.se/	http://www.openumea.se/api	wwopse	* 18 * * 5	10080
http://data.london.gov.uk/	http://data.london.gov.uk/api/1	dalogouk	* 18 * * 5	10080
