NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;2737;2973;5710;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz;1347;1284;2631;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;2886;2982;5868;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60625;Krumegg;709;734;1443;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg;1787;1823;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60627;Langegg bei Graz;418;416;834;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;1293;1402;2695;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;2221;2465;4686;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60630;Mellach;589;607;1196;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60631;Nestelbach bei Graz;512;559;1071;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau;1054;1074;2128;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60633;Pirka;1585;1616;3201;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60634;Hart-Purgstall;832;786;1618;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60635;Raaba;1065;1114;2179;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60636;Röthelstein;101;118;219;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60637;Rohrbach-Steinberg;702;726;1428;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;677;704;1381;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60640;Sankt Marein bei Graz;621;635;1256;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;591;588;1179;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;1005;1013;2018;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60643;Schrems bei Frohnleiten;298;305;603;01.01.2012
