NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_NAT;POP_FOR_NAT;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;5474;236;5710;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz;2549;82;2631;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;5295;573;5868;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60625;Krumegg;1409;34;1443;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg;3517;93;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60627;Langegg bei Graz;820;14;834;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;2547;148;2695;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;4455;231;4686;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60630;Mellach;1162;34;1196;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60631;Nestelbach bei Graz;1035;36;1071;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau;1917;211;2128;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60633;Pirka;2995;206;3201;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60634;Hart-Purgstall;1582;36;1618;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60635;Raaba;2027;152;2179;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60636;Röthelstein;212;7;219;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60637;Rohrbach-Steinberg;1407;21;1428;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;1344;37;1381;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60640;Sankt Marein bei Graz;1226;30;1256;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;1159;20;1179;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;1966;52;2018;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60643;Schrems bei Frohnleiten;580;23;603;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60644;Seiersberg;6688;656;7344;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;3046;207;3253;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;2609;120;2729;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;707;7;714;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;2102;131;2233;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60649;Tulwitz;512;2;514;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60650;Tyrnau;151;2;153;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;1893;57;1950;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;3399;211;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;4079;143;4222;01.01.2012
