Wohnungen in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwellings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_MITHWS;WHG_WSA_OHNEHWS;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3BIS5;WHG_NOC_6BIS;WHG_NOC_ENTFAELLT;WHG_RECHTSVERH_GEBEIG;WHG_RECHTSVERH_WOHNEIG;WHG_RECHTSVERH_HAUPTM;WHG_RECHTSVERH_SONSTIGE;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3BIS5;WHG_NOR_6BIS;WHG_NTZFL_BIS44;WHG_NTZFL_45BIS59;WHG_NTZFL_60BIS89;WHG_NTZFL_90BIS129;WHG_NTZFL_130BIS;WHG_BEHEIZ_ZENTRAL;WHG_BEHEIZ_NICHTZENTRAL;WHG_BAD_BADDUSCHE;WHG_BAD_KEINBADDUSCHE;WHG_TOI_WASSERTOILETTE;WHG_TOI_KEINWASSERTOILETTE;WHG_WSS_WASSER;WHG_WSS_KEINWASSER;WHG_AUSST_A;WHG_AUSST_B;WHG_AUSST_C;WHG_AUSST_D;WHG_TYP_WOHNGEB;WGH_TYP_ANDEREGEB;WHG_EIGENTOBJ_PRIVAT;WHG_EIGENTOBJ_OEFEENTL;WHG_EIGENTOBJ_GEMEINN;WHG_EIGENTOBJ_SONSTIGE;WHG_BAUPOBJ_BIS1918;WHG_BAUPOBJ_1919BIS1944;WHG_BAUPOBJ_1945BIS1960;WHG_BAUPOBJ_1961BIS1970;WHG_BAUPOBJ_1971BIS1980;WHG_BAUPOBJ_1981BIS1990;WHG_BAUPOBJ_1991BIS2000;WHG_BAUPOBJ_2001BIS;WHG_ANZWHGOBJ_1;WHG_ANZWHGOBJ_2;WHG_ANZWHGOBJ_3BIS5;WHG_ANZWHGOBJ_6BIS10;WHG_ANZWHGOBJ_11BIS20;WHG_ANZWHGOBJ_21MEHR
AT1;AT13;AT130;10;1006;91001;9100106;5490;939;2424;1464;1477;125;939;125;829;5035;440;1175;1449;3659;146;2191;1607;2179;400;52;5745;684;5919;510;5044;1385;6359;70;4660;272;112;1385;6355;74;4335;811;805;478;3409;348;456;613;305;237;578;483;25;10;36;349;2067;3942
AT1;AT13;AT130;10;1007;91001;9100107;5993;737;2762;1778;1365;88;737;57;1831;4416;426;712;1078;4743;197;1249;1755;3086;599;41;6471;259;6580;150;6348;382;6712;18;6163;140;45;382;6651;79;3329;889;2100;412;994;297;761;2274;1006;353;519;526;17;12;37;157;2268;4239
AT1;AT13;AT130;10;1008;91001;9100108;4406;702;1905;1235;1180;86;702;61;862;3888;297;693;1042;3300;73;1311;1358;1924;481;34;4829;279;4847;261;4540;568;5090;18;4311;124;105;568;5084;24;2865;659;1280;304;1630;737;194;976;611;244;184;532;5;14;7;144;1058;3880
AT1;AT13;AT130;10;1009;91001;9100109;2191;103;907;662;590;32;103;5;28;2085;176;185;354;1702;53;432;620;919;297;26;2250;44;2210;84;2277;17;2293;1;2166;32;79;17;2014;280;261;1432;434;167;42;715;387;0;1;296;419;434;4;0;15;537;702;1036
AT1;AT13;AT130;10;1010;91001;9100110;8387;601;4153;2427;1663;144;601;33;748;7870;337;1233;1866;5826;63;2633;2645;3226;453;31;8723;265;8658;330;8718;270;8981;7;8313;156;249;270;8887;101;1389;4896;2455;248;650;1889;2159;2909;583;470;90;238;14;8;8;162;5199;3597
AT1;AT13;AT130;10;1011;91001;9100111;4131;498;1786;1164;1057;124;498;595;31;3866;137;585;864;2987;193;1271;744;1785;760;69;4472;157;4388;241;4610;19;4625;4;4270;110;230;19;4608;21;730;2837;1042;20;2;1495;42;1081;331;1318;247;113;808;32;18;138;1236;2397
AT1;AT13;AT130;10;1012;91001;9100112;1152;36;467;313;359;13;36;1;220;966;1;17;98;934;139;45;121;681;336;5;1188;0;1188;0;1188;0;1188;0;1188;0;0;0;1184;4;430;0;522;236;0;0;0;0;0;2;16;1170;4;0;0;0;85;1099
AT1;AT13;AT130;10;1013;91001;9100113;2882;342;1442;956;459;25;342;340;48;2736;100;245;774;2144;61;646;1304;1107;143;24;3095;129;3155;69;3216;8;3224;0;3037;114;65;8;3213;11;430;1237;1553;4;2;500;724;1431;480;38;11;38;666;88;334;724;1044;368
AT1;AT13;AT130;10;1014;91001;9100114;2099;122;934;706;430;29;122;61;2;2117;41;98;377;1712;34;312;1185;617;101;6;2077;144;2207;14;2218;3;2221;0;2065;139;14;3;2217;4;66;1650;505;0;1;2;1614;284;253;50;16;1;717;26;71;1049;358;0
AT1;AT13;AT130;10;1015;91001;9100115;2771;463;1022;886;836;27;463;701;144;2278;111;183;382;2349;320;440;603;1782;345;64;3137;97;3148;86;3209;25;3230;4;3067;69;73;25;3185;49;1401;435;1339;59;66;165;191;590;205;119;137;1761;861;38;14;79;672;1570
AT1;AT13;AT130;10;1016;91001;9100116;2872;637;1212;974;659;27;637;1120;53;2213;123;393;609;2141;366;961;712;876;692;268;3319;190;3291;218;3488;21;3503;6;3130;153;205;21;3459;50;1243;1120;1092;54;3;1304;369;668;191;502;252;220;1743;90;59;325;881;411
AT1;AT13;AT130;10;1017;91001;9100117;364;51;89;126;141;8;51;160;55;171;29;5;28;320;62;18;39;126;170;62;396;19;407;8;402;13;415;0;387;12;3;13;373;42;295;3;77;40;56;37;15;70;69;101;34;33;278;30;35;28;14;30
AT1;AT13;AT130;10;1018;91001;9100118;2017;147;776;580;644;17;147;421;184;1472;87;110;288;1569;197;153;325;948;571;167;2130;34;2157;7;2155;9;2163;1;2122;31;2;9;2097;67;991;266;649;258;118;69;171;79;98;28;836;765;446;90;155;261;640;572
AT1;AT13;AT130;10;1019;91001;9100119;1267;262;488;431;328;20;262;562;315;481;171;82;149;1071;227;165;258;461;462;183;1433;96;1492;37;1472;57;1523;6;1399;60;13;57;1478;51;1256;107;103;63;192;87;198;380;61;151;277;183;706;98;223;325;131;46
AT1;AT13;AT130;10;1020;91001;9100120;4635;102;1905;1712;936;82;102;12;2;4661;62;249;396;4044;48;427;556;3189;559;6;4737;0;4735;2;4735;2;4737;0;4733;0;2;2;4728;9;0;4732;0;5;0;0;0;2394;2343;0;0;0;3;2;4;366;1652;2710
AT1;AT13;AT130;10;1021;91001;9100121;2652;222;747;860;1015;30;222;238;167;2415;54;162;264;2347;101;205;241;1807;601;20;2871;3;2862;12;2870;4;2874;0;2859;2;9;4;2853;21;483;1742;632;17;1;1;3;21;41;1004;1644;159;264;14;90;1074;934;498
AT1;AT13;AT130;10;1022;91001;9100122;3214;843;1491;934;727;62;843;83;1121;2410;443;448;823;2715;71;874;1085;1666;404;28;3779;278;3887;170;3608;449;4037;20;3444;123;41;449;3962;95;3063;42;649;303;1454;117;713;925;250;138;107;353;3;8;67;234;1458;2287
AT1;AT13;AT130;10;1023;91001;9100123;4409;790;2104;1165;1043;97;790;65;566;4227;341;916;1070;3138;75;1590;1441;1798;346;24;4956;243;4929;270;4784;415;5186;13;4530;112;142;415;4882;317;1851;2324;347;677;888;1011;610;1317;66;12;315;980;25;4;25;248;1759;3138
AT1;AT13;AT130;11;1101;91101;9110101;967;527;587;221;153;6;527;29;320;1136;9;51;220;1096;127;152;346;682;313;1;1491;3;1491;3;1493;1;1494;0;1488;3;2;1;1141;353;457;129;748;160;7;6;6;0;0;0;220;1255;13;8;3;9;0;1461
AT1;AT13;AT130;11;1102;91101;9110102;6448;737;2887;1906;1529;126;737;95;800;5956;334;812;1283;4961;129;1688;2126;2741;576;54;6795;390;6877;308;6605;580;7159;26;6303;180;122;580;7099;86;2525;3246;1122;292;1364;1034;1387;1383;1116;349;123;429;58;38;76;571;4274;2168
AT1;AT13;AT130;11;1103;91101;9110103;7657;1179;3490;2093;1906;168;1179;193;1292;6808;543;1145;1941;5491;259;2392;2356;3147;874;67;8290;546;8341;495;8073;763;8795;41;7557;257;259;763;8787;49;4115;2852;1330;539;1903;1281;1669;1467;472;786;595;663;99;34;61;660;4493;3489
AT1;AT13;AT130;11;1104;91101;9110104;2170;227;863;738;537;32;227;77;266;1905;149;239;418;1700;40;496;557;1102;230;12;2267;130;2334;63;2237;160;2381;16;2149;71;17;160;2385;12;648;758;906;85;371;14;862;306;375;426;24;19;105;12;10;42;762;1466
AT1;AT13;AT130;11;1105;91101;9110105;5346;364;2346;1625;1296;79;364;324;155;5109;122;377;1033;4137;163;828;1818;2460;502;102;5620;90;5536;174;5676;34;5706;4;5452;62;162;34;5670;40;826;2841;1799;244;133;1144;869;1201;378;384;741;860;449;80;223;1359;1809;1790
AT1;AT13;AT130;11;1106;91101;9110106;133;23;41;38;49;5;23;68;0;76;12;3;21;115;17;25;32;45;45;9;138;18;145;11;146;10;150;6;135;7;4;10;153;3;71;82;1;2;45;31;5;0;0;3;57;15;76;2;14;41;23;0
AT1;AT13;AT130;11;1107;91101;9110107;3141;554;1242;1063;771;65;554;829;60;2704;102;370;466;2758;101;618;960;1626;446;45;3574;121;3634;61;3622;73;3690;5;3500;84;38;73;3678;17;1235;2025;353;82;278;209;370;1841;245;115;301;336;1007;52;54;142;1016;1424
AT1;AT13;AT130;11;1108;91101;9110108;356;14;118;120;117;1;14;1;1;357;11;28;29;301;12;33;20;208;103;6;370;0;370;0;370;0;370;0;370;0;0;0;363;7;3;0;359;8;2;1;1;0;7;0;346;13;74;2;0;18;72;204
AT1;AT13;AT130;11;1109;91101;9110109;924;112;295;260;328;41;112;273;80;626;57;18;99;744;175;49;168;422;252;145;1019;17;1030;6;1024;12;1035;1;1011;11;2;12;1020;16;588;64;374;10;93;36;57;35;97;175;149;394;297;76;70;60;328;205
AT1;AT13;AT130;11;1110;91101;9110110;10715;413;3646;3333;3506;230;413;337;736;9819;236;345;1224;9158;401;607;1909;6140;2347;125;11066;62;11109;19;11094;34;11125;3;11044;40;10;34;11083;45;2169;4697;4075;187;107;58;65;686;3527;978;3813;1894;554;84;135;639;2095;7621
AT1;AT13;AT130;11;1111;91101;9110111;1843;329;729;571;503;40;329;325;123;1633;91;237;462;1385;88;470;527;814;284;77;2055;117;2108;64;2116;56;2165;7;1983;89;44;56;2136;36;621;1033;496;22;456;131;225;101;745;34;291;189;333;60;44;260;733;742
AT1;AT13;AT130;11;1112;91101;9110112;137;34;41;59;29;8;34;83;12;56;20;6;20;112;33;12;16;60;53;30;151;20;167;4;162;9;169;2;144;17;1;9;164;7;132;3;36;0;14;27;29;21;15;14;4;47;76;26;33;36;0;0
AT1;AT13;AT130;11;1113;91101;9110113;2263;349;974;806;461;22;349;401;272;1797;142;285;374;1814;139;499;421;1219;377;96;2556;56;2589;23;2584;28;2612;0;2525;39;20;28;2597;15;1032;55;1422;103;86;61;114;473;273;780;409;416;449;36;17;329;628;1153
AT1;AT13;AT130;12;1201;91201;9120101;1943;428;915;538;451;39;428;58;416;1655;242;282;489;1553;47;550;639;909;245;28;2239;132;2272;99;2140;231;2358;13;2052;66;22;231;2275;96;1655;404;145;167;1076;101;275;555;171;82;17;94;19;30;83;302;1312;625
AT1;AT13;AT130;12;1202;91201;9120102;8485;1066;4032;2330;1966;157;1066;119;1281;7590;561;1134;2243;5977;197;2864;2884;2781;967;55;8955;596;8872;679;8622;929;9528;23;7905;299;418;929;9482;69;4302;3539;1315;395;2729;3230;974;296;634;340;791;557;12;14;57;488;4842;4138
AT1;AT13;AT130;12;1203;91201;9120103;2496;222;1275;634;526;61;222;10;2;2541;165;394;919;1383;22;1101;972;598;42;5;2641;77;2563;155;2710;8;2718;0;2500;58;152;8;2709;9;0;2618;0;100;0;1354;1260;0;4;0;0;100;0;8;14;426;1580;690
AT1;AT13;AT130;12;1204;91201;9120104;4128;1013;2002;1139;920;67;1013;166;1217;3254;504;687;1145;3158;151;1412;1325;1827;496;81;4820;321;4897;244;4546;595;5120;21;4350;137;59;595;4931;210;3556;649;487;449;1822;199;1066;750;328;463;268;245;36;76;246;817;2645;1321
AT1;AT13;AT130;12;1205;91201;9120105;4222;843;2081;1144;933;64;843;81;927;3715;342;651;894;3389;131;1214;1303;1932;544;72;4777;288;4811;254;4474;591;5042;23;4248;148;78;591;4959;106;2874;741;783;667;2019;325;571;1075;285;569;65;156;14;24;70;604;2111;2242
AT1;AT13;AT130;12;1206;91201;9120106;4393;1069;2154;1192;985;62;1069;140;931;3987;404;747;993;3507;215;1416;1143;1997;767;139;5062;400;5135;327;4653;809;5427;35;4380;189;84;809;5336;126;4411;206;556;289;3481;228;177;404;594;152;156;270;29;34;148;676;2778;1797
AT1;AT13;AT130;12;1207;91201;9120107;3323;420;1619;963;691;50;420;119;465;3006;153;290;629;2724;100;783;1320;1205;381;54;3655;88;3574;169;3703;40;3740;3;3485;62;156;40;3665;78;885;2025;771;62;180;1180;1511;506;162;97;66;41;68;64;374;1181;1595;461
AT1;AT13;AT130;12;1208;91201;9120108;2233;527;1085;649;466;33;527;310;170;2100;180;482;570;1645;63;902;654;996;185;23;2578;182;2561;199;2357;403;2743;17;2191;90;76;403;2722;38;1565;453;473;269;919;343;199;626;145;99;349;80;361;24;22;248;1254;851
AT1;AT13;AT130;12;1209;91201;9120109;3076;282;1093;774;979;230;282;361;23;2899;75;349;619;2193;197;899;289;1587;497;86;3336;22;3248;110;3349;9;3357;1;3229;15;105;9;3357;1;422;2917;11;8;0;59;874;550;1171;615;45;44;403;34;77;594;718;1532
AT1;AT13;AT130;12;1210;91201;9120110;4434;717;1912;1284;1187;51;717;606;532;3795;218;445;830;3578;298;895;1198;2117;798;143;5003;148;5004;147;5011;140;5146;5;4807;110;94;140;5024;127;1996;921;2118;116;412;488;723;1011;119;288;227;1883;918;126;178;773;1303;1853
AT1;AT13;AT130;12;1211;91201;9120111;4542;834;2106;1353;1034;49;834;388;1194;3440;354;376;663;3930;407;619;990;2447;1063;257;5213;163;5284;92;5219;157;5362;14;5070;109;40;157;5266;110;2870;709;1419;378;1058;868;774;638;478;615;633;312;784;164;409;1751;1738;530
AT1;AT13;AT130;13;1301;91301;9130101;246;94;122;71;52;1;94;4;24;271;41;19;28;258;35;29;50;119;92;50;328;12;331;9;327;13;340;0;316;9;2;13;304;36;84;256;0;0;227;62;8;26;0;0;7;10;7;12;122;107;65;27
AT1;AT13;AT130;13;1302;91301;9130102;2943;846;1337;820;742;44;846;418;1100;1862;409;257;342;2319;871;376;479;1021;930;983;3702;87;3740;49;3730;59;3785;4;3633;70;27;59;3658;131;3055;271;162;301;1512;348;502;652;335;234;84;122;241;250;704;1491;924;179
AT1;AT13;AT130;13;1303;91301;9130103;4573;1130;2278;1341;907;47;1130;181;1423;3540;559;495;805;4051;352;915;1073;2272;1169;274;5562;141;5641;62;5610;93;5701;2;5476;105;29;93;5409;294;3432;611;707;953;1110;296;1346;918;629;799;328;277;106;72;285;1783;2393;1064
AT1;AT13;AT130;13;1304;91301;9130104;4831;1158;2239;1384;1144;64;1158;946;1754;2744;545;481;690;3983;835;818;1023;1965;1338;845;5852;137;5865;124;5903;86;5983;6;5694;110;99;86;5874;115;4356;469;819;345;1235;441;1273;1051;839;573;350;227;844;272;727;2118;1645;383
AT1;AT13;AT130;13;1305;91301;9130105;2032;733;861;633;523;15;733;950;616;1006;193;294;334;1654;483;458;572;778;507;450;2690;75;2695;70;2715;50;2763;2;2597;67;51;50;2744;21;1958;405;312;90;175;494;816;509;316;151;119;185;1015;154;285;762;486;63
AT1;AT13;AT130;13;1306;91301;9130106;1295;277;618;378;283;16;277;240;469;720;143;89;200;1044;239;159;282;580;340;211;1537;35;1558;14;1552;20;1570;2;1518;28;6;20;1539;33;1099;24;336;113;255;138;125;244;298;170;210;132;211;102;122;474;534;129
AT1;AT13;AT130;13;1307;91301;9130107;1601;185;745;494;335;27;185;259;172;1263;92;121;182;1297;186;170;410;774;287;145;1741;45;1776;10;1776;10;1786;0;1724;43;9;10;1774;12;743;668;275;100;188;125;531;726;59;16;28;113;262;82;67;1035;340;0
AT1;AT13;AT130;13;1308;91301;9130108;3252;836;1569;983;668;32;836;573;839;2280;396;479;573;2629;407;714;842;1460;710;362;4010;78;4030;58;4009;79;4084;4;3905;67;37;79;4009;79;2197;1024;600;267;571;322;748;782;833;230;339;263;593;132;411;1170;1323;459
AT1;AT13;AT130;13;1309;91301;9130109;2189;561;1030;670;465;24;561;76;117;2166;391;581;385;1631;153;854;700;889;243;64;2660;90;2669;81;2741;9;2749;1;2585;76;80;9;2738;12;329;2116;300;5;24;1368;578;237;162;356;20;5;944;46;233;890;235;402
AT1;AT13;AT130;13;1310;91301;9130110;32;143;9;10;13;0;143;135;0;9;31;26;53;90;6;130;9;21;11;4;172;3;175;0;174;1;175;0;171;3;0;1;169;6;135;39;0;1;21;6;73;26;5;32;8;4;141;4;24;6;0;0
AT1;AT13;AT130;13;1311;91301;9130111;1909;469;642;634;599;34;469;1727;152;289;210;108;94;1385;791;129;197;540;759;753;2288;90;2327;51;2351;27;2376;2;2232;75;44;27;2363;15;2253;23;48;54;16;770;294;370;344;225;181;178;1827;274;189;48;40;0
AT1;AT13;AT130;14;1401;91401;9140101;3524;633;1706;1059;727;32;633;151;959;2766;281;494;628;2748;287;938;896;1690;533;100;3910;247;3928;229;3615;542;4139;18;3455;101;59;542;4106;51;2780;278;616;483;1971;194;304;367;442;295;187;397;88;46;119;669;1653;1582
AT1;AT13;AT130;14;1402;91401;9140102;4209;791;2089;1106;948;66;791;124;374;4228;274;924;1119;2804;153;1885;1245;1420;386;64;4465;535;4554;446;3918;1082;4969;31;3528;224;166;1082;4942;58;3417;1040;335;208;3251;867;151;62;85;227;159;198;13;26;64;320;2533;2044
AT1;AT13;AT130;14;1403;91401;9140103;4476;913;2196;1257;965;58;913;252;1112;3580;445;563;829;3602;395;1123;975;1860;1079;352;5108;281;5154;235;5144;245;5381;8;4800;183;161;245;5262;127;3514;1094;486;295;2090;1206;473;591;572;116;256;85;63;96;357;1562;2524;787
AT1;AT13;AT130;14;1404;91401;9140104;9787;1157;4704;2869;2122;92;1157;131;1568;8749;496;1461;1992;7250;241;2873;2715;4189;1088;79;10324;620;10445;499;9919;1025;10902;42;9390;328;201;1025;10849;95;4661;2905;2326;1052;3320;1346;1271;1139;988;1469;932;479;23;22;73;646;4943;5237
AT1;AT13;AT130;14;1405;91401;9140105;2067;603;891;659;496;21;603;802;51;1580;237;390;392;1683;205;799;414;941;379;137;2573;97;2527;143;2590;80;2665;5;2411;65;114;80;2652;18;1034;918;504;214;168;1408;139;158;234;160;104;299;1388;94;35;256;499;398
AT1;AT13;AT130;14;1406;91401;9140106;5971;781;2875;1771;1264;61;781;188;1279;4922;363;730;1110;4639;273;1399;1593;2679;945;136;6380;372;6492;260;6211;541;6717;35;5965;185;61;541;6698;54;3457;1156;1704;435;1760;327;551;1243;939;885;746;301;91;88;210;853;3207;2303
AT1;AT13;AT130;14;1407;91401;9140107;1486;58;710;409;339;28;58;2;2;1498;42;167;389;955;33;309;870;335;23;7;1467;77;1522;22;1538;6;1544;0;1446;71;21;6;1544;0;0;1544;0;0;0;0;1544;0;0;0;0;0;0;0;42;562;940;0
AT1;AT13;AT130;14;1408;91401;9140108;1899;354;833;592;447;27;354;535;198;1420;100;212;225;1555;261;315;497;834;417;190;2182;71;2221;32;2220;33;2252;1;2132;65;23;33;2238;15;1030;661;403;159;183;162;697;566;260;142;52;191;599;80;214;882;429;49
AT1;AT13;AT130;14;1409;91401;9140109;11;172;6;1;4;0;172;3;1;41;138;167;4;9;3;167;7;5;3;1;183;0;183;0;183;0;183;0;183;0;0;0;8;175;7;172;4;0;6;0;1;0;166;0;0;10;8;2;7;0;0;166
AT1;AT13;AT130;14;1410;91401;9140110;3732;1019;1726;1124;850;32;1019;942;835;2685;289;566;740;3112;333;920;895;1685;1001;250;4554;197;4605;146;4656;95;4743;8;4385;157;114;95;4705;46;2738;871;748;394;881;525;584;852;892;479;230;308;952;90;256;1444;1345;664
AT1;AT13;AT130;14;1411;91401;9140111;2803;1383;907;953;892;51;1383;3151;232;413;390;515;391;2326;954;768;326;970;1221;901;3840;346;3966;220;4102;84;4181;5;3629;281;192;84;4101;85;3945;58;96;87;44;1045;806;608;519;429;371;364;3353;412;253;94;27;47
AT1;AT13;AT130;14;1412;91401;9140112;2561;763;949;832;735;45;763;1231;743;1127;223;173;319;2224;608;298;410;1012;1083;521;3050;274;3246;78;3241;83;3312;12;2984;209;48;83;3247;77;2590;218;386;130;597;222;178;466;534;634;432;261;1385;240;464;795;353;87
AT1;AT13;AT130;15;1501;91501;9150101;5530;681;2858;1457;1135;80;681;67;696;5123;325;773;1504;3688;246;1868;1719;2114;444;66;5838;373;5869;342;5760;451;6191;20;5336;219;205;451;6033;178;2898;1832;759;722;2155;1570;843;432;502;119;266;324;7;14;54;371;3187;2578
AT1;AT13;AT130;15;1502;91501;9150102;4699;962;2257;1298;1059;85;962;175;472;4591;423;913;1363;3197;188;2026;1433;1558;536;108;5089;572;5132;529;4207;1454;5609;52;3933;179;95;1454;5516;145;4333;511;163;654;4623;241;5;96;178;147;249;122;14;12;78;667;2586;2304
AT1;AT13;AT130;15;1503;91501;9150103;5370;1019;2490;1398;1348;134;1019;151;596;5115;527;734;1345;4080;230;1632;1570;2349;688;150;5832;557;5963;426;5127;1262;6328;61;4843;203;81;1262;6130;259;4638;726;298;727;4305;363;167;239;464;239;213;399;25;32;199;867;3470;1796
AT1;AT13;AT130;15;1504;91501;9150104;3672;606;1776;956;857;83;606;83;419;3513;263;576;989;2597;116;1312;1073;1425;396;72;3881;397;3968;310;3448;830;4254;24;3197;175;76;830;4191;87;2668;686;289;635;2679;330;81;260;413;183;128;204;19;4;87;450;2285;1433
AT1;AT13;AT130;15;1505;91501;9150105;4973;901;2261;1422;1168;122;901;148;854;4400;472;707;1087;3889;191;1406;1477;2196;699;96;5500;374;5584;290;5042;832;5837;37;4815;164;63;832;5738;136;3785;1438;331;320;2775;230;370;867;936;420;86;190;25;26;204;831;3176;1612
AT1;AT13;AT130;15;1506;91501;9150106;7046;1191;3439;1845;1645;117;1191;159;896;6631;551;1501;1827;4719;190;2873;2240;2525;503;96;7302;935;7564;673;6281;1956;8154;83;5805;365;111;1956;8193;44;6014;1005;546;672;5325;430;684;267;700;349;312;170;12;6;112;731;3938;3438
AT1;AT13;AT130;15;1507;91501;9150107;4324;491;2208;1245;820;51;491;97;178;4332;208;515;1062;3126;112;1377;1575;1416;400;47;4557;258;4524;291;4360;455;4806;9;4081;121;158;455;4809;6;1692;2184;673;266;1445;1791;449;449;163;205;266;47;40;14;40;647;2372;1702
AT1;AT13;AT130;16;1601;91601;9160101;6787;1404;3380;1760;1511;136;1404;222;1677;5591;701;1177;1778;5025;211;2385;2175;2784;733;114;7477;714;7651;540;6687;1504;8112;79;6302;277;108;1504;8008;183;6714;503;477;497;4780;267;785;992;766;335;172;94;23;26;244;1516;4334;2048
AT1;AT13;AT130;16;1602;91601;9160102;3883;691;1818;1053;914;98;691;147;425;3656;346;972;914;2542;146;1749;1096;1295;357;77;3961;613;4087;487;3166;1408;4518;56;2901;193;72;1408;4474;100;3600;299;190;485;3660;101;112;159;127;183;103;129;8;18;115;664;2242;1527
AT1;AT13;AT130;16;1603;91601;9160103;6240;861;3043;1780;1297;120;861;53;500;5835;713;1147;1502;4361;91;2061;2258;2364;368;50;6810;291;6798;303;6565;536;7080;21;6241;161;163;536;7020;81;1701;3825;1183;392;1519;1497;1955;661;510;151;675;133;13;12;33;405;4314;2324
AT1;AT13;AT130;16;1604;91601;9160104;4089;655;1971;1133;922;63;655;93;803;3556;292;671;871;3061;141;1175;1157;1855;491;66;4440;304;4510;234;4160;584;4712;32;4001;114;45;584;4702;42;2880;634;844;386;1861;54;314;725;528;646;304;312;19;18;90;544;2540;1533
AT1;AT13;AT130;16;1605;91601;9160105;7693;1263;3757;2092;1745;99;1263;264;1279;6716;697;1568;1636;5521;231;2791;2196;3046;816;107;8171;785;8298;658;7130;1826;8885;71;6712;274;144;1826;8677;279;5714;723;1677;842;4760;736;467;519;939;571;384;580;29;56;263;969;3630;4009
AT1;AT13;AT130;16;1606;91601;9160106;5137;612;2496;1381;1157;103;612;103;744;4628;274;699;1357;3489;204;1803;1192;1948;707;99;5462;287;5410;339;5191;558;5732;17;4910;106;175;558;5712;37;2249;2911;255;334;1425;1810;162;1081;63;708;214;286;47;32;98;914;3198;1460
AT1;AT13;AT130;16;1607;91601;9160107;5155;962;2494;1527;1073;61;962;87;530;5257;243;853;1225;3885;154;1716;1483;2126;749;43;5675;442;5672;445;5276;841;6089;28;4966;174;136;841;6095;22;2839;1319;1381;578;2393;471;1065;375;818;229;253;513;27;6;43;594;2726;2721
AT1;AT13;AT130;16;1608;91601;9160108;1722;863;791;580;337;14;863;913;66;1378;228;544;375;1552;114;912;617;757;223;76;2536;49;2479;106;2556;29;2580;5;2431;36;89;29;2397;188;1075;941;533;36;210;584;473;581;281;139;87;230;1253;38;37;283;385;589
AT1;AT13;AT130;16;1609;91601;9160109;2581;692;1134;836;591;20;692;822;577;1633;241;294;345;2243;391;469;542;1137;713;412;3204;69;3221;52;3252;21;3270;3;3157;56;39;21;3259;14;1871;48;1232;122;243;291;543;852;224;392;408;320;871;176;591;957;554;124
AT1;AT13;AT130;16;1610;91601;9160110;4968;1081;2343;1288;1230;107;1081;129;383;5146;391;1547;1302;3065;135;2832;1419;1425;309;64;5189;860;5291;758;3893;2156;5945;104;3536;248;109;2156;5971;78;4588;738;185;538;4764;676;182;0;250;108;59;10;8;10;63;755;2926;2287
AT1;AT13;AT130;17;1701;91701;9170101;5248;1209;2559;1466;1146;77;1209;293;839;4909;416;1060;1258;3834;305;2111;1470;2026;722;128;5739;718;5930;527;4955;1502;6386;71;4614;260;81;1502;6368;89;5127;251;641;438;4232;177;323;263;620;468;169;205;44;42;329;1050;2925;2067
AT1;AT13;AT130;17;1702;91701;9170102;6808;1536;3267;1852;1574;115;1536;271;1326;6157;590;1108;1726;5191;319;2149;2151;2996;860;188;7664;680;7882;462;7195;1149;8272;72;6722;330;143;1149;8201;143;6328;1141;386;489;4281;453;796;724;929;696;252;213;41;80;354;1274;4595;2000
AT1;AT13;AT130;17;1703;91701;9170103;8447;1753;4074;2335;1907;131;1753;224;1400;7976;600;1437;2000;6376;387;2952;2561;3562;996;129;9409;791;9545;655;8607;1593;10143;57;8071;328;208;1593;9901;299;5782;1930;1214;1274;4790;1425;669;867;840;703;299;607;30;28;236;1456;5133;3317
AT1;AT13;AT130;17;1704;91701;9170104;1642;658;673;545;401;23;658;883;213;1000;204;385;286;1330;299;497;335;738;455;275;2213;87;2209;91;2238;62;2294;6;2109;66;63;62;2272;28;1556;541;57;146;175;331;286;323;202;398;249;336;938;108;283;289;397;285
AT1;AT13;AT130;17;1705;91701;9170105;2820;1098;1182;838;751;49;1098;1330;758;1607;223;438;493;2425;562;713;701;1215;784;505;3732;186;3758;160;3836;82;3911;7;3570;143;123;82;3885;33;2576;766;430;146;430;525;820;769;418;326;334;296;1511;140;303;948;851;165
AT1;AT13;AT130;17;1706;91701;9170106;1135;492;482;337;307;9;492;598;346;584;99;335;221;869;202;470;251;374;342;190;1532;95;1563;64;1589;38;1623;4;1463;80;46;38;1524;103;1141;228;86;172;201;170;399;178;302;148;149;80;675;42;92;430;254;134
AT1;AT13;AT130;18;1801;91801;9180101;971;307;448;284;223;16;307;187;457;490;144;32;99;871;276;57;128;371;372;350;1255;23;1262;16;1251;27;1277;1;1226;15;10;27;1263;15;1162;43;3;70;476;62;262;208;111;85;42;32;81;84;325;434;354;0
