NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;MARTI  ;GRUE   ;FPOE   ;KPOE   ;JULIS  ;BZOE   ;                                                                                                                 
AT1;AT13;AT130;;1;9;0;0;0;1162709;498531;7353;140317;89500;77858;83525;75271;6039;5814;12854;                                                                                                                 
AT1;AT13;AT130;;2;9;1;0;0;113307;51375;698;12947;10939;6129;12047;5769;889;746;1211;                                                                                                                 
AT1;AT13;AT130;;2;9;2;0;0;100411;49750;660;10832;12416;4891;14141;3962;836;944;1068;                                                                                                                 
AT1;AT13;AT130;;2;9;3;0;0;110753;44808;667;13727;5799;6924;8455;7016;731;476;1013;                                                                                                                 
AT1;AT13;AT130;;2;9;4;0;0;232093;88276;1318;28801;10147;16059;9125;18817;884;739;2386;                                                                                                                 
AT1;AT13;AT130;;2;9;5;0;0;212738;97025;1478;26480;20110;15085;15384;13540;1017;1150;2781;                                                                                                                 
AT1;AT13;AT130;;2;9;6;0;0;177659;82178;1162;20407;19946;10969;15548;10063;965;1045;2073;                                                                                                                 
AT1;AT13;AT130;;2;9;7;0;0;215748;85119;1370;27123;10143;17801;8825;16104;717;714;2322;                                                                                                                 
AT1;AT13;AT130;90301;3;9;1;3;0;58066;26452;368;6681;5861;3256;5694;3147;430;366;649;                                                                                                                 
AT1;AT13;AT130;90401;3;9;1;4;0;21487;10734;113;2382;2827;1139;2729;931;178;182;253;                                                                                                                 
AT1;AT13;AT130;90501;3;9;1;5;0;33754;14189;217;3884;2251;1734;3624;1691;281;198;309;                                                                                                                 
AT1;AT13;AT130;90101;3;9;2;1;0;13604;6712;78;1351;2658;611;1163;529;53;110;159;                                                                                                                 
AT1;AT13;AT130;90601;3;9;2;6;0;21099;9813;145;2202;2054;1082;2968;831;172;171;188;                                                                                                                 
AT1;AT13;AT130;90701;3;9;2;7;0;21058;10532;147;2350;2024;974;3590;802;229;206;210;                                                                                                                 
AT1;AT13;AT130;90801;3;9;2;8;0;16929;8891;114;1801;2433;763;2565;685;153;175;202;                                                                                                                 
AT1;AT13;AT130;90901;3;9;2;9;0;27721;13802;176;3128;3247;1461;3855;1115;229;282;309;                                                                                                                 
AT1;AT13;AT130;90201;3;9;3;2;0;59224;25038;380;7242;3562;3575;5543;3433;470;285;548;                                                                                                                 
AT1;AT13;AT130;92001;3;9;3;20;0;51529;19770;287;6485;2237;3349;2912;3583;261;191;465;                                                                                                                 
AT1;AT13;AT130;91001;3;9;4;10;0;114365;43467;625;14616;4543;8021;3967;9728;429;325;1213;                                                                                                                 
AT1;AT13;AT130;91101;3;9;4;11;0;59933;21599;338;7108;2060;4314;1815;5068;197;160;539;                                                                                                                 
AT1;AT13;AT130;91201;3;9;4;12;0;57795;23210;355;7077;3544;3724;3343;4021;258;254;634;                                                                                                                 
AT1;AT13;AT130;91301;3;9;5;13;0;40071;21763;343;4913;7027;2791;3305;2300;172;285;627;                                                                                                                 
AT1;AT13;AT130;91401;3;9;5;14;0;61272;27413;420;7365;5321;4303;4669;4003;249;335;748;                                                                                                                 
AT1;AT13;AT130;91501;3;9;5;15;0;41284;15888;295;4664;1958;2299;3363;2386;292;207;424;                                                                                                                 
AT1;AT13;AT130;92301;3;9;5;23;0;70111;31961;420;9538;5804;5692;4047;4851;304;323;982;                                                                                                                 
AT1;AT13;AT130;91601;3;9;6;16;0;59515;24461;402;7335;3492;3761;4647;3623;371;245;585;                                                                                                                 
AT1;AT13;AT130;91701;3;9;6;17;0;33941;14961;223;3672;3119;2070;3075;1989;215;203;395;                                                                                                                 
AT1;AT13;AT130;91801;3;9;6;18;0;33503;17343;209;3473;5350;1855;4061;1536;200;265;394;                                                                                                                 
AT1;AT13;AT130;91901;3;9;6;19;0;50700;25413;328;5927;7985;3283;3765;2915;179;332;699;                                                                                                                 
AT1;AT13;AT130;92101;3;9;7;21;0;103288;40911;640;13051;4922;8411;4022;8076;338;306;1145;                                                                                                                 
AT1;AT13;AT130;92201;3;9;7;22;0;112460;44208;730;14072;5221;9390;4803;8028;379;408;1177;                                                                                                                 
