Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91001;1003;2;3572;347;262;50;99;108;54;36;48;46;366;2156;20110101
AT1;AT13;AT130;91001;1004;2;3844;545;379;67;107;112;57;99;43;30;598;1807;20110101
AT1;AT13;AT130;91001;1005;2;8804;933;890;115;265;341;174;176;74;92;1116;4628;20110101
AT1;AT13;AT130;91001;1006;2;5850;800;726;91;199;323;125;149;52;42;894;2449;20110101
AT1;AT13;AT130;91001;1007;2;6074;538;312;90;142;201;89;112;71;59;702;3758;20110101
AT1;AT13;AT130;91001;1008;2;4766;574;456;80;160;215;87;117;46;49;622;2360;20110101
AT1;AT13;AT130;91001;1009;2;2485;191;133;35;54;82;16;44;34;20;224;1652;20110101
AT1;AT13;AT130;91001;1010;2;8396;715;611;118;149;262;61;103;110;53;715;5499;20110101
AT1;AT13;AT130;91001;1011;2;4540;226;407;49;67;56;24;26;60;19;448;3158;20110101
AT1;AT13;AT130;91001;1012;2;1237;48;33;28;42;35;10;22;8;12;212;787;20110101
AT1;AT13;AT130;91001;1013;2;2630;165;83;40;23;32;18;16;45;14;123;2071;20110101
AT1;AT13;AT130;91001;1014;2;2190;102;56;43;21;17;11;12;26;18;105;1779;20110101
AT1;AT13;AT130;91001;1015;2;2847;136;91;40;62;99;51;30;28;20;190;2100;20110101
AT1;AT13;AT130;91001;1016;2;3119;100;60;50;36;23;9;23;56;27;204;2531;20110101
AT1;AT13;AT130;91001;1017;2;450;8;3;6;1;0;0;1;2;4;15;410;20110101
AT1;AT13;AT130;91001;1018;2;2234;55;16;42;38;25;11;17;19;18;122;1871;20110101
AT1;AT13;AT130;91001;1019;2;1376;59;18;35;24;8;6;18;14;15;91;1088;20110101
AT1;AT13;AT130;91001;1020;2;5240;177;289;86;78;33;20;42;80;33;241;4161;20110101
