Sterbefälle  in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;
Deaths of residents in Vienna by sex and age;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;DEATH;REF_YEAR
AT1;AT13;AT130;00000;0000;1;65;178;2013
AT1;AT13;AT130;00000;0000;1;66;171;2013
AT1;AT13;AT130;00000;0000;1;67;145;2013
AT1;AT13;AT130;00000;0000;1;68;179;2013
AT1;AT13;AT130;00000;0000;1;69;229;2013
AT1;AT13;AT130;00000;0000;1;70;210;2013
AT1;AT13;AT130;00000;0000;1;71;200;2013
AT1;AT13;AT130;00000;0000;1;72;211;2013
AT1;AT13;AT130;00000;0000;1;73;253;2013
AT1;AT13;AT130;00000;0000;1;74;194;2013
AT1;AT13;AT130;00000;0000;1;75;132;2013
AT1;AT13;AT130;00000;0000;1;76;171;2013
AT1;AT13;AT130;00000;0000;1;77;147;2013
AT1;AT13;AT130;00000;0000;1;78;180;2013
AT1;AT13;AT130;00000;0000;1;79;179;2013
AT1;AT13;AT130;00000;0000;1;80;200;2013
AT1;AT13;AT130;00000;0000;1;81;186;2013
AT1;AT13;AT130;00000;0000;1;82;233;2013
AT1;AT13;AT130;00000;0000;1;83;235;2013
AT1;AT13;AT130;00000;0000;1;84;228;2013
AT1;AT13;AT130;00000;0000;1;85;222;2013
AT1;AT13;AT130;00000;0000;1;86;213;2013
AT1;AT13;AT130;00000;0000;1;87;206;2013
AT1;AT13;AT130;00000;0000;1;88;195;2013
AT1;AT13;AT130;00000;0000;1;89;182;2013
AT1;AT13;AT130;00000;0000;1;90;164;2013
AT1;AT13;AT130;00000;0000;1;91;159;2013
AT1;AT13;AT130;00000;0000;1;92;122;2013
AT1;AT13;AT130;00000;0000;1;93;93;2013
AT1;AT13;AT130;00000;0000;1;94;57;2013
AT1;AT13;AT130;00000;0000;1;95;46;2013
AT1;AT13;AT130;00000;0000;1;96;30;2013
AT1;AT13;AT130;00000;0000;1;97;15;2013
AT1;AT13;AT130;00000;0000;1;98;25;2013
AT1;AT13;AT130;00000;0000;1;99;25;2013
AT1;AT13;AT130;00000;0000;1;100;7;2013
AT1;AT13;AT130;00000;0000;1;101;6;2013
AT1;AT13;AT130;00000;0000;1;102;8;2013
AT1;AT13;AT130;00000;0000;1;103;2;2013
AT1;AT13;AT130;00000;0000;1;104;1;2013
AT1;AT13;AT130;00000;0000;1;105;0;2013
AT1;AT13;AT130;00000;0000;1;106;0;2013
AT1;AT13;AT130;00000;0000;1;107;0;2013
AT1;AT13;AT130;00000;0000;1;108;0;2013
