NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_BORN;POP_FOR_BORN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;209456;56322;265778;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;1328;79;1407;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;7423;686;8109;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;1335;67;1402;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;2778;132;2910;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;153;8;161;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;2157;104;2261;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;261;6;267;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;1451;65;1516;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;973;21;994;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;289;6;295;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;2754;108;2862;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;1392;28;1420;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;394;25;419;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;1996;100;2096;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;185;9;194;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;3102;237;3339;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;914;28;942;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;1011;40;1051;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;150;3;153;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;1536;56;1592;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;1560;77;1637;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;1618;75;1693;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;1355;46;1401;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);1368;65;1433;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;1728;66;1794;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;526;34;560;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;1308;39;1347;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;2061;96;2157;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;1922;128;2050;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60332;Soboth;316;11;327;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60333;Stainz;2383;165;2548;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60334;Stainztal;1399;42;1441;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60335;Stallhof;488;39;527;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60336;Sulmeck-Greith;1297;35;1332;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60338;Trahütten;365;22;387;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60339;Unterbergla;1305;37;1342;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60340;Wernersdorf;632;20;652;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten;1504;53;1557;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60342;Wielfresen;556;17;573;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60343;Wies;2184;105;2289;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60601;Attendorf;1703;100;1803;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60602;Brodingberg;1210;45;1255;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60603;Deutschfeistritz;3526;370;3896;01.01.2013
