Erwerbstätige PendlerInnen am Arbeits- bzw. Wohnort Wien nach Geschlecht und Entfernungskategorie;;;;;;;;;
Economically Active Commuters in Vienna by sex and category of distance;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUBDISTRICT_CODE;SEX;DISTANCE_CAT;EAC_PLACE_OF_WORK;EAC_PLACE_OF_ABODE;REF_YEAR
AT1;AT13;AT130;92201;0;2;4;4.784;2.292;2009
AT1;AT13;AT130;92201;0;2;5;;11;2009
AT1;AT13;AT130;92201;0;2;0;25.029;33.508;2009
AT1;AT13;AT130;92201;0;0;1;2.784;2.784;2009
AT1;AT13;AT130;92201;0;0;2;19.526;19.526;2009
AT1;AT13;AT130;92201;0;0;3;19.968;40.237;2009
AT1;AT13;AT130;92201;0;0;4;14.087;6.907;2009
AT1;AT13;AT130;92201;0;0;5;;37;2009
AT1;AT13;AT130;92201;0;0;0;56.365;69.491;2009
AT1;AT13;AT130;92301;0;1;1;1.260;1.260;2009
AT1;AT13;AT130;92301;0;1;2;4.774;4.774;2009
AT1;AT13;AT130;92301;0;1;3;17.212;11.131;2009
