Wanderung gegenüber Wien nach Staatsangehörigkeit und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by nationality and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;1;CHN;26;9;319;310;17;133;116;536;2008
AT1;AT13;AT130;00000;00000000;1;OTHER;1270;511;4663;4152;759;1671;912;7938;2008
AT1;AT13;AT130;00000;00000000;2;AUT;-1565;-1267;1801;3068;-298;11859;12157;44430;2009
AT1;AT13;AT130;00000;00000000;2;DEU;870;921;2004;1083;-51;247;298;1866;2009
AT1;AT13;AT130;00000;00000000;2;POL;328;381;1151;770;-53;81;134;1632;2009
AT1;AT13;AT130;00000;00000000;2;ROU;769;772;1679;907;-3;165;168;1417;2009
AT1;AT13;AT130;00000;00000000;2;SVK;307;337;826;489;-30;94;124;908;2009
AT1;AT13;AT130;00000;00000000;2;HUN;360;374;835;461;-14;119;133;533;2009
AT1;AT13;AT130;00000;00000000;2;BGR;323;335;856;521;-12;44;56;697;2009
AT1;AT13;AT130;00000;00000000;2;CZE;39;57;235;178;-18;35;53;228;2009
AT1;AT13;AT130;00000;00000000;2;REST-EU;311;319;1559;1240;-8;107;115;1126;2009
AT1;AT13;AT130;00000;00000000;2;SCG;287;290;1291;1001;-3;251;254;4430;2009
AT1;AT13;AT130;00000;00000000;2;TUR;418;384;925;541;34;154;120;2842;2009
AT1;AT13;AT130;00000;00000000;2;BIH;125;49;220;171;76;154;78;905;2009
AT1;AT13;AT130;00000;00000000;2;HRV;124;96;347;251;28;77;49;751;2009
AT1;AT13;AT130;00000;00000000;2;MKD;119;115;198;83;4;37;33;412;2009
AT1;AT13;AT130;00000;00000000;2;RUS;686;197;454;257;489;631;142;1018;2009
AT1;AT13;AT130;00000;00000000;2;CHN;23;8;418;410;15;109;94;697;2009
AT1;AT13;AT130;00000;00000000;2;OTHER;1600;1096;4158;3062;504;952;448;5232;2009
AT1;AT13;AT130;00000;00000000;1;AUT;-1162;-1110;3725;4835;-52;11479;11531;45323;2009
AT1;AT13;AT130;00000;00000000;1;DEU;968;1024;2317;1293;-56;290;346;1948;2009
AT1;AT13;AT130;00000;00000000;1;POL;52;89;1321;1232;-37;83;120;1613;2009
AT1;AT13;AT130;00000;00000000;1;ROU;677;771;2137;1366;-94;126;220;1130;2009
AT1;AT13;AT130;00000;00000000;1;SVK;59;88;585;497;-29;58;87;374;2009
AT1;AT13;AT130;00000;00000000;1;HUN;210;243;827;584;-33;78;111;404;2009
AT1;AT13;AT130;00000;00000000;1;BGR;343;353;974;621;-10;20;30;550;2009
AT1;AT13;AT130;00000;00000000;1;CZE;-2;11;169;158;-13;9;22;104;2009
AT1;AT13;AT130;00000;00000000;1;REST-EU;145;176;1857;1681;-31;149;180;1277;2009
AT1;AT13;AT130;00000;00000000;1;SCG;-22;-14;1751;1765;-8;318;326;5345;2009
AT1;AT13;AT130;00000;00000000;1;TUR;604;542;1471;929;62;279;217;4031;2009
AT1;AT13;AT130;00000;00000000;1;BIH;69;26;346;320;43;166;123;1325;2009
AT1;AT13;AT130;00000;00000000;1;HRV;-3;1;382;381;-4;70;74;840;2009
AT1;AT13;AT130;00000;00000000;1;MKD;4;13;258;245;-9;47;56;643;2009
AT1;AT13;AT130;00000;00000000;1;RUS;508;94;357;263;414;579;165;1037;2009
AT1;AT13;AT130;00000;00000000;1;CHN;-2;-4;424;428;2;108;106;575;2009
AT1;AT13;AT130;00000;00000000;1;OTHER;1306;172;4972;4800;1134;2154;1020;9046;2009
AT1;AT13;AT130;00000;00000000;2;AUT;-1120;-1368;1938;3306;248;12145;11897;43130;2010
AT1;AT13;AT130;00000;00000000;2;DEU;1018;1059;2128;1069;-41;272;313;2041;2010
AT1;AT13;AT130;00000;00000000;2;POL;377;411;1162;751;-34;87;121;1546;2010
AT1;AT13;AT130;00000;00000000;2;ROU;1053;1059;2113;1054;-6;183;189;1651;2010
AT1;AT13;AT130;00000;00000000;2;SVK;275;283;846;563;-8;109;117;907;2010
AT1;AT13;AT130;00000;00000000;2;HUN;379;387;942;555;-8;109;117;609;2010
AT1;AT13;AT130;00000;00000000;2;BGR;516;506;1047;541;10;45;35;786;2010
AT1;AT13;AT130;00000;00000000;2;CZE;40;50;225;175;-10;31;41;234;2010
AT1;AT13;AT130;00000;00000000;2;REST-EU;514;515;1778;1263;-1;134;135;1223;2010
AT1;AT13;AT130;00000;00000000;2;SCG;705;699;2114;1415;6;267;261;4417;2010
AT1;AT13;AT130;00000;00000000;2;TUR;377;339;857;518;38;169;131;2484;2010
AT1;AT13;AT130;00000;00000000;2;BIH;110;89;230;141;21;113;92;900;2010
AT1;AT13;AT130;00000;00000000;2;HRV;24;25;286;261;-1;64;65;696;2010
AT1;AT13;AT130;00000;00000000;2;MKD;150;152;293;141;-2;29;31;415;2010
