NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;OEVP   ;GRUE   ;KPOE   ;BZOE   ;SLP    ;WIF    ;                                                                                                                 
AT1;AT13;AT130;;1;1;0;0;0;1142126;694515;14950;333611;100780;127531;99432;9969;7824;124;294;                                                                                                                 
AT1;AT13;AT130;;2;1;1;0;0;88350;52648;1027;19574;5446;12897;12188;873;519;124;0;                                                                                                                 
AT1;AT13;AT130;;2;1;2;0;0;64333;39381;728;13140;3476;9571;11318;754;394;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;3;0;0;58792;34705;728;16952;4793;5140;6057;645;390;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;4;0;0;57997;34749;666;14745;4294;7455;6585;642;362;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;5;0;0;112718;67021;1555;37769;12829;7920;5316;882;750;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;6;0;0;57508;34487;806;20478;6339;3583;2478;440;363;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;7;0;0;56805;33610;816;17155;5413;5252;4092;480;402;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;8;0;0;41010;27283;654;9742;2930;9248;4144;304;261;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;9;0;0;60502;37455;712;16812;5455;7952;5588;533;403;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;10;0;0;40848;22679;426;11358;3540;3073;3646;387;249;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;11;0;0;58962;35294;806;17755;5455;5463;4948;511;356;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;12;0;0;33381;20106;514;8328;2912;4395;3462;277;218;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;13;0;0;32826;20712;434;6579;2099;6693;4465;262;180;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;14;0;0;50159;31949;776;11865;3634;10447;4599;326;302;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;15;0;0;51200;29735;632;16494;4891;3522;3389;463;344;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;16;0;0;101076;62006;1418;34998;10292;7947;5495;801;1055;0;0;                                                                                                                 
AT1;AT13;AT130;;2;1;17;0;0;107508;66486;1375;37600;10696;8504;6421;820;776;0;294;                                                                                                                 
AT1;AT13;AT130;;2;1;18;0;0;68151;44209;877;22267;6286;8469;5241;569;500;0;0;                                                                                                                 
AT1;AT13;AT130;90101;3;1;1;1;0;12869;7777;157;2205;598;3151;1482;81;96;7;0;                                                                                                                 
AT1;AT13;AT130;90401;3;1;1;4;0;21110;13110;246;4440;1210;3637;3234;182;133;28;0;                                                                                                                 
AT1;AT13;AT130;90501;3;1;1;5;0;33458;19302;415;8503;2490;3197;4079;365;196;57;0;                                                                                                                 
AT1;AT13;AT130;90601;3;1;1;6;0;20913;12459;209;4426;1148;2912;3393;245;94;32;0;                                                                                                                 
AT1;AT13;AT130;90701;3;1;2;7;0;20546;12639;267;4148;1051;2507;4290;266;110;0;0;                                                                                                                 
AT1;AT13;AT130;90801;3;1;2;8;0;16567;10366;120;3210;885;3011;2842;176;122;0;0;                                                                                                                 
AT1;AT13;AT130;90901;3;1;2;9;0;27220;16376;341;5782;1540;4053;4186;312;162;0;0;                                                                                                                 
AT1;AT13;AT130;90201;3;1;3;2;0;58792;34705;728;16952;4793;5140;6057;645;390;0;0;                                                                                                                 
AT1;AT13;AT130;90301;3;1;4;3;0;57997;34749;666;14745;4294;7455;6585;642;362;0;0;                                                                                                                 
AT1;AT13;AT130;91001;3;1;5;10;0;112718;67021;1555;37769;12829;7920;5316;882;750;0;0;                                                                                                                 
AT1;AT13;AT130;91101;3;1;6;11;0;57508;34487;806;20478;6339;3583;2478;440;363;0;0;                                                                                                                 
AT1;AT13;AT130;91201;3;1;7;12;0;56805;33610;816;17155;5413;5252;4092;480;402;0;0;                                                                                                                 
AT1;AT13;AT130;91301;3;1;8;13;0;41010;27283;654;9742;2930;9248;4144;304;261;0;0;                                                                                                                 
AT1;AT13;AT130;91401;3;1;9;14;0;60502;37455;712;16812;5455;7952;5588;533;403;0;0;                                                                                                                 
AT1;AT13;AT130;91501;3;1;10;15;0;40848;22679;426;11358;3540;3073;3646;387;249;0;0;                                                                                                                 
AT1;AT13;AT130;91601;3;1;11;16;0;58962;35294;806;17755;5455;5463;4948;511;356;0;0;                                                                                                                 
AT1;AT13;AT130;91701;3;1;12;17;0;33381;20106;514;8328;2912;4395;3462;277;218;0;0;                                                                                                                 
AT1;AT13;AT130;91801;3;1;13;18;0;32826;20712;434;6579;2099;6693;4465;262;180;0;0;                                                                                                                 
AT1;AT13;AT130;91901;3;1;14;19;0;50159;31949;776;11865;3634;10447;4599;326;302;0;0;                                                                                                                 
AT1;AT13;AT130;92001;3;1;15;20;0;51200;29735;632;16494;4891;3522;3389;463;344;0;0;                                                                                                                 
AT1;AT13;AT130;92101;3;1;16;21;0;101076;62006;1418;34998;10292;7947;5495;801;1055;0;0;                                                                                                                 
AT1;AT13;AT130;92201;3;1;17;22;0;107508;66486;1375;37600;10696;8504;6421;820;776;0;294;                                                                                                                 
AT1;AT13;AT130;92301;3;1;18;23;0;68151;44209;877;22267;6286;8469;5241;569;500;0;0;                                                                                                                 
