NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;OEVP   ;GRUE   ;KPOE   ;BZOE   ;LIF    ;SLP    ;PH     ;YC     ;WWW    ;GS     ;PRO    ;KEINE  ;OK KI  ;EMP    ;PB     ;OE     ;AL     ;WIF    ;                 
AT1;AT13;AT130;91001;3;1;10;10;0;117471;67572;1813;37289;12808;8075;5590;909;720;240;128;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;91101;3;1;11;11;0;59634;34754;973;20489;6136;3592;2658;458;355;93;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;91201;3;1;12;12;0;59658;34035;980;16808;5133;5122;4328;474;385;171;0;634;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;91301;3;1;13;13;0;43101;27830;748;9039;2377;10698;4330;290;209;139;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;91401;3;1;14;14;0;63046;37970;930;16493;5099;8201;6156;480;386;225;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;91501;3;1;15;15;0;44300;23051;510;11151;3620;3034;3957;411;252;116;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;91601;3;1;16;16;0;62549;35774;924;17575;5411;5435;5297;462;351;184;0;0;0;0;0;0;0;135;0;0;0;0;0;                 
AT1;AT13;AT130;91701;3;1;17;17;0;35807;20433;468;8214;2922;4357;3682;281;212;297;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;91801;3;1;18;18;0;35293;21216;489;6300;1662;7223;4782;213;145;0;0;0;0;0;0;0;0;0;175;83;144;0;0;                 
AT1;AT13;AT130;91901;3;1;19;19;0;53175;32581;705;10936;2693;12963;4477;272;236;174;0;0;0;0;0;0;0;0;0;0;0;125;0;                 
AT1;AT13;AT130;92001;3;1;20;20;0;54100;30104;746;16535;4879;3380;3581;429;325;147;82;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;92101;3;1;21;21;0;104107;62562;1534;35035;9849;7896;5901;803;1307;237;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;92201;3;1;22;22;0;110776;67101;1723;37324;10410;8287;6918;906;781;358;0;0;0;0;0;0;0;0;0;0;0;0;394;                 
AT1;AT13;AT130;92301;3;1;23;23;0;70379;44753;983;22369;5872;8494;5587;558;476;204;0;0;0;0;0;0;0;0;0;0;0;0;210;                 
