NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;34066;63753;57601;52123;38564;19671;265778;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;179;248;298;341;213;128;1407;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;1061;1374;1651;1951;1332;740;8109;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;192;221;263;328;253;145;1402;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;420;500;588;702;438;262;2910;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;28;25;39;33;29;7;161;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;284;332;439;560;393;253;2261;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;43;38;56;66;32;32;267;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;241;252;345;349;228;101;1516;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;124;189;161;259;168;93;994;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;41;49;62;61;53;29;295;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;403;470;603;661;438;287;2862;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;205;266;298;367;185;99;1420;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;58;75;99;95;57;35;419;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;273;357;413;540;327;186;2096;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;20;25;45;46;38;20;194;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;474;567;737;811;503;247;3339;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;159;151;195;219;153;65;942;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;133;163;220;276;179;80;1051;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;27;18;30;39;27;12;153;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;212;291;329;400;230;130;1592;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;185;270;281;385;319;197;1637;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;227;282;346;429;256;153;1693;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;191;258;313;336;211;92;1401;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);212;245;309;343;216;108;1433;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;230;313;340;445;325;141;1794;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;72;78;115;113;99;83;560;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;197;221;286;321;203;119;1347;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;297;354;438;542;352;174;2157;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;273;316;387;531;350;193;2050;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60332;Soboth;31;50;53;78;65;50;327;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60333;Stainz;366;401;536;609;383;253;2548;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60334;Stainztal;216;225;290;368;242;100;1441;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60335;Stallhof;68;110;103;122;94;30;527;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60336;Sulmeck-Greith;161;222;260;334;212;143;1332;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60338;Trahütten;49;71;91;74;63;39;387;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60339;Unterbergla;179;259;271;316;208;109;1342;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60340;Wernersdorf;98;98;137;145;105;69;652;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten;245;247;354;383;230;98;1557;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60342;Wielfresen;62;105;100;149;108;49;573;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60343;Wies;267;386;442;549;422;223;2289;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60601;Attendorf;248;250;412;424;334;135;1803;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60602;Brodingberg;194;214;261;298;189;99;1255;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60603;Deutschfeistritz;574;742;764;927;575;314;3896;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60604;Dobl;307;301;436;387;225;96;1752;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60605;Edelsgrub;134;114;154;174;95;55;726;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60606;Eggersdorf bei Graz;337;354;444;487;348;158;2128;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60607;Eisbach;458;466;593;733;485;238;2973;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz;786;975;1231;1365;793;445;5595;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60609;Fernitz;476;536;709;845;477;224;3267;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60610;Frohnleiten;679;983;1053;1513;1051;685;5964;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60611;Gössendorf;533;593;861;922;542;297;3748;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60612;Grambach;268;257;390;395;253;105;1668;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn;1084;1420;1627;1622;1162;668;7583;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60614;Gratwein;511;683;788;905;579;230;3696;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60615;Großstübing;48;57;68;77;56;36;342;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60616;Gschnaidt;41;70;65;73;57;39;345;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60617;Hart bei Graz;630;749;870;1198;705;347;4499;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad;177;219;278;346;243;80;1343;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60619;Hausmannstätten;444;482;642;681;480;185;2914;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60620;Hitzendorf;546;638;754;899;497;298;3632;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60621;Höf-Präbach;220;233;306;330;242;82;1413;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;882;881;1272;1400;906;430;5771;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz;334;374;514;747;483;237;2689;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;867;1121;1415;1392;832;401;6028;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60625;Krumegg;195;244;295;390;208;102;1434;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg;633;560;772;942;498;257;3662;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60627;Langegg bei Graz;135;117;208;189;138;60;847;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;359;439;543;661;388;232;2622;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;658;773;1034;1154;766;364;4749;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60630;Mellach;186;177;302;297;173;87;1222;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60631;Nestelbach bei Graz;143;175;256;275;164;89;1102;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau;305;411;446;489;338;160;2149;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60633;Pirka;482;590;716;835;433;214;3270;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60634;Hart-Purgstall;228;276;305;416;259;120;1604;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60635;Raaba;339;365;496;520;340;144;2204;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60636;Röthelstein;32;35;51;52;31;16;217;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60637;Rohrbach-Steinberg;205;244;285;344;237;101;1416;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;194;222;259;338;263;108;1384;01.01.2013
