Wanderung gegenüber Wien nach Zählbezirken, Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, migrationbackground and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010102;1;OTHER;7;2;4;2;5;0;0;13;8;0;2007
AT1;AT13;AT130;00000;9010103;2;AUT;-9;-8;4;12;-1;10;9;21;23;0;2007
AT1;AT13;AT130;00000;9010103;2;DEU;1;2;4;2;-1;1;1;3;4;0;2007
AT1;AT13;AT130;00000;9010103;2;POL;6;1;1;0;5;0;0;5;0;0;2007
AT1;AT13;AT130;00000;9010103;2;ROU;3;2;2;0;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;2;SVK;-1;0;1;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;HUN;0;1;2;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BGR;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010103;2;REST-EU;3;3;7;4;0;0;0;3;3;3;2007
AT1;AT13;AT130;00000;9010103;2;SCG;0;4;4;0;-4;0;0;0;4;0;2007
AT1;AT13;AT130;00000;9010103;2;TUR;2;1;1;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BIH;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;MKD;0;0;0;0;0;0;0;2;2;1;2007
AT1;AT13;AT130;00000;9010103;2;RUS;2;0;0;0;2;2;1;5;4;0;2007
AT1;AT13;AT130;00000;9010103;2;CHN;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;2;OTHER;-7;-7;7;14;0;3;0;7;10;1;2007
AT1;AT13;AT130;00000;9010103;1;AUT;-4;-9;6;15;5;6;4;32;29;3;2007
AT1;AT13;AT130;00000;9010103;1;DEU;1;1;6;5;0;0;0;4;4;0;2007
AT1;AT13;AT130;00000;9010103;1;POL;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;1;ROU;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010103;1;SVK;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;1;HUN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;1;BGR;-1;1;1;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;1;CZE;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;1;REST-EU;5;7;12;5;-2;0;1;1;2;0;2007
AT1;AT13;AT130;00000;9010103;1;SCG;-2;-1;0;1;-1;0;0;4;5;0;2007
AT1;AT13;AT130;00000;9010103;1;TUR;7;0;0;0;7;0;0;7;0;0;2007
AT1;AT13;AT130;00000;9010103;1;BIH;-3;0;0;0;-3;0;0;1;4;0;2007
AT1;AT13;AT130;00000;9010103;1;HRV;-4;1;1;0;-5;0;0;0;5;0;2007
AT1;AT13;AT130;00000;9010103;1;MKD;-2;0;1;1;-2;0;0;2;4;0;2007
AT1;AT13;AT130;00000;9010103;1;RUS;2;2;3;1;0;1;1;4;4;0;2007
AT1;AT13;AT130;00000;9010103;1;CHN;-1;0;0;0;-1;1;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;1;OTHER;-14;-10;5;15;-4;1;0;4;9;0;2007
AT1;AT13;AT130;00000;9010104;2;AUT;-2;-2;1;3;0;7;10;26;23;2;2007
AT1;AT13;AT130;00000;9010104;2;DEU;-5;1;2;1;-6;2;0;0;8;0;2007
AT1;AT13;AT130;00000;9010104;2;POL;-3;-2;0;2;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010104;2;ROU;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;2;SVK;-2;-2;0;2;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;2;HUN;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;2;CZE;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010104;2;REST-EU;0;-1;2;3;1;0;0;4;3;0;2007
AT1;AT13;AT130;00000;9010104;2;SCG;0;0;0;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010104;2;HRV;-1;1;1;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010104;2;MKD;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;2;CHN;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010104;2;OTHER;-2;1;5;4;-3;1;2;3;5;0;2007
AT1;AT13;AT130;00000;9010104;1;AUT;-12;3;5;2;-15;8;11;27;39;1;2007
AT1;AT13;AT130;00000;9010104;1;DEU;-10;-2;4;6;-8;1;2;3;10;0;2007
AT1;AT13;AT130;00000;9010104;1;POL;1;0;0;0;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;1;SVK;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010104;1;REST-EU;-1;1;5;4;-2;0;1;1;2;1;2007
AT1;AT13;AT130;00000;9010104;1;SCG;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010104;1;TUR;-2;0;0;0;-2;0;1;0;1;0;2007
AT1;AT13;AT130;00000;9010104;1;BIH;1;0;0;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010104;1;HRV;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010104;1;MKD;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;1;CHN;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010104;1;OTHER;5;7;13;6;-2;0;0;7;9;0;2007
AT1;AT13;AT130;00000;9010105;2;AUT;16;-10;1;11;26;24;13;40;25;1;2007
AT1;AT13;AT130;00000;9010105;2;DEU;-5;1;1;0;-6;0;0;0;6;0;2007
AT1;AT13;AT130;00000;9010105;2;POL;4;2;2;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010105;2;ROU;-1;1;1;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010105;2;SVK;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;HUN;-1;-1;1;2;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010105;2;BGR;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;CZE;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;REST-EU;-6;-5;2;7;-1;0;0;2;3;0;2007
AT1;AT13;AT130;00000;9010105;2;SCG;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010105;2;TUR;2;1;1;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010105;2;BIH;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;2;HRV;5;2;2;0;3;0;0;3;0;0;2007
AT1;AT13;AT130;00000;9010105;2;RUS;4;1;1;0;3;2;0;2;1;0;2007
AT1;AT13;AT130;00000;9010105;2;CHN;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;OTHER;0;0;8;8;0;0;2;6;4;0;2007
AT1;AT13;AT130;00000;9010105;1;AUT;-2;-1;5;6;-1;13;13;44;45;2;2007
AT1;AT13;AT130;00000;9010105;1;DEU;0;3;4;1;-3;0;1;2;4;0;2007
AT1;AT13;AT130;00000;9010105;1;POL;2;2;2;0;0;0;0;0;0;0;2007
