NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;OEVP   ;SPOE   ;FPOE   ;GRUE   ;BZOE   ;KPOE   ;SLP    ;MATIN  ;NFOE   ;                                                                                                         
AT1;AT13;AT130;;1;9;0;0;0;1130346;817792;9221;176524;331828;112098;140508;14709;9841;2257;17788;3018;                                                                                                         
AT1;AT13;AT130;;2;9;1;0;0;111576;81446;872;19968;28003;8599;19497;1304;1273;215;1454;261;                                                                                                         
AT1;AT13;AT130;;2;9;2;0;0;100969;73892;690;21652;20135;5472;22097;1093;1201;168;1187;197;                                                                                                         
AT1;AT13;AT130;;2;9;3;0;0;108782;75762;852;12930;33420;10559;13262;1403;1131;269;1655;281;                                                                                                         
AT1;AT13;AT130;;2;9;4;0;0;222935;156431;1902;24362;75656;28569;16733;2956;1609;503;3481;660;                                                                                                         
AT1;AT13;AT130;;2;9;5;0;0;207008;154306;1773;38521;59086;19686;26480;2747;1657;380;3410;566;                                                                                                         
AT1;AT13;AT130;;2;9;6;0;0;174176;127957;1360;35067;44267;14984;25490;2205;1434;318;2442;390;                                                                                                         
AT1;AT13;AT130;;2;9;7;0;0;204900;147998;1772;24024;71261;24229;16949;3001;1536;404;4159;663;                                                                                                         
AT1;AT13;AT130;90301;3;9;1;3;0;57270;36577;399;8654;13193;4116;8147;573;590;114;655;136;                                                                                                         
AT1;AT13;AT130;90401;3;9;1;4;0;21164;13692;138;3872;3938;1221;3757;232;204;29;256;45;                                                                                                         
AT1;AT13;AT130;90501;3;9;1;5;0;33142;20343;244;3718;8012;2430;4809;338;339;61;333;59;                                                                                                         
AT1;AT13;AT130;;3;9;1;91;0;0;10834;91;3724;2860;832;2784;161;140;11;210;21;                                                                                                         
AT1;AT13;AT130;90101;3;9;2;1;0;15567;7949;68;3377;1780;559;1782;135;95;12;117;24;                                                                                                         
AT1;AT13;AT130;90601;3;9;2;6;0;20912;12995;129;3180;3863;1105;3995;179;266;33;216;29;                                                                                                         
AT1;AT13;AT130;90701;3;9;2;7;0;20642;13448;140;2987;3922;997;4691;191;240;33;216;31;                                                                                                         
AT1;AT13;AT130;90801;3;9;2;8;0;16702;10764;91;3205;2787;774;3367;165;175;16;155;29;                                                                                                         
AT1;AT13;AT130;90901;3;9;2;9;0;27146;17538;201;4678;5273;1451;4936;267;293;56;326;57;                                                                                                         
AT1;AT13;AT130;;3;9;2;92;0;0;11198;61;4225;2510;586;3326;156;132;18;157;27;                                                                                                         
AT1;AT13;AT130;90201;3;9;3;2;0;58260;36551;399;6354;15499;4708;7279;693;604;118;777;120;                                                                                                         
AT1;AT13;AT130;92001;3;9;3;20;0;50522;31334;386;4571;14985;5060;4350;583;422;131;713;133;                                                                                                         
AT1;AT13;AT130;;3;9;3;93;0;0;7877;67;2005;2936;791;1633;127;105;20;165;28;                                                                                                         
AT1;AT13;AT130;91001;3;9;4;10;0;111098;71083;849;10116;35106;14091;6752;1391;725;242;1508;303;                                                                                                         
AT1;AT13;AT130;91101;3;9;4;11;0;56102;36356;458;4667;18675;7131;3183;677;360;120;919;166;                                                                                                         
AT1;AT13;AT130;91201;3;9;4;12;0;55735;35573;470;6390;15765;5649;5166;648;431;124;779;151;                                                                                                         
AT1;AT13;AT130;;3;9;4;94;0;0;13419;125;3189;6110;1698;1632;240;93;17;275;40;                                                                                                         
AT1;AT13;AT130;91301;3;9;5;13;0;39638;28149;334;10132;8199;2817;5288;453;249;57;521;99;                                                                                                         
AT1;AT13;AT130;91401;3;9;5;14;0;59485;39756;497;9253;15164;5483;7049;698;419;93;948;152;                                                                                                         
AT1;AT13;AT130;91501;3;9;5;15;0;40414;24486;290;3812;10849;3533;4552;429;371;103;471;76;                                                                                                         
AT1;AT13;AT130;92301;3;9;5;23;0;67471;47852;547;10741;20145;6571;6939;943;501;103;1174;188;                                                                                                         
AT1;AT13;AT130;;3;9;5;95;0;0;14063;105;4583;4729;1282;2652;224;117;24;296;51;                                                                                                         
AT1;AT13;AT130;91601;3;9;6;16;0;58325;37359;436;6469;16429;5508;6402;665;481;121;726;122;                                                                                                         
AT1;AT13;AT130;91701;3;9;6;17;0;33329;21336;268;5015;7624;2812;4399;357;287;54;448;72;                                                                                                         
AT1;AT13;AT130;91801;3;9;6;18;0;32627;21690;216;7189;5623;2013;5605;350;231;42;365;56;                                                                                                         
AT1;AT13;AT130;91901;3;9;6;19;0;49895;33780;344;11474;10693;3509;5995;617;313;84;639;112;                                                                                                         
AT1;AT13;AT130;;3;9;6;96;0;0;13792;96;4920;3898;1142;3089;216;122;17;264;28;                                                                                                         
AT1;AT13;AT130;92101;3;9;7;21;0;99376;66300;838;10402;32171;11514;6952;1450;706;201;1763;303;                                                                                                         
AT1;AT13;AT130;92201;3;9;7;22;0;105524;71929;847;11340;34571;11647;8695;1407;764;190;2146;322;                                                                                                         
AT1;AT13;AT130;;3;9;7;97;0;0;9769;87;2282;4519;1068;1302;144;66;13;250;38;                                                                                                         
