NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;SUM_ANKUENFTE;SUM_UEBERNACHTUNGEN;YEAR
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;534384;984771;2013
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;325;807;2013
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;11390;28461;2013
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;2564;6122;2013
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;4224;13927;2013
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;473;1354;2013
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;9796;21481;2013
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;455;1876;2013
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;284;1112;2013
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;302;853;2013
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;4823;12391;2013
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;1208;4986;2013
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;808;2432;2013
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;153;703;2013
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;3294;10093;2013
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;2028;5239;2013
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;6485;46897;2013
AT2;AT22;AT225;603;Deutschlandsberg;60332;Soboth;1353;3858;2013
AT2;AT22;AT225;603;Deutschlandsberg;60333;Stainz;7948;14300;2013
AT2;AT22;AT225;603;Deutschlandsberg;60338;Trahütten;2189;9613;2013
AT2;AT22;AT225;603;Deutschlandsberg;60343;Wies;1299;3694;2013
AT2;AT22;AT221;606;Graz-Umgebung;60603;Deutschfeistritz;2168;3487;2013
AT2;AT22;AT221;606;Graz-Umgebung;60606;Eggersdorf bei Graz;601;1471;2013
AT2;AT22;AT221;606;Graz-Umgebung;60607;Eisbach;712;3655;2013
AT2;AT22;AT221;606;Graz-Umgebung;60610;Frohnleiten;6792;17746;2013
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn;8862;16409;2013
AT2;AT22;AT221;606;Graz-Umgebung;60620;Hitzendorf;675;1493;2013
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;1783;4881;2013
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;25261;43669;2013
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;8930;98015;2013
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;2878;4326;2013
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;4296;40599;2013
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;6439;14793;2013
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;2206;10564;2013
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;51780;110504;2013
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;3595;24496;2013
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;1792;3862;2013
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;13787;25875;2013
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;10344;27668;2013
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;43362;101473;2013
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;18219;43703;2013
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;1252;3986;2013
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;5404;14797;2013
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;12187;21016;2013
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;8113;23699;2013
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;27583;56351;2013
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;3201;7150;2013
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;1819;6125;2013
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;8946;19871;2013
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;1520;3638;2013
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;1404;5346;2013
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;5178;9823;2013
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;1339;4187;2013
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;5336;13641;2013
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;15990;36999;2013
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;1788;3895;2013
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;7889;14414;2013
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;3082;5457;2013
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;9081;24368;2013
AT2;AT22;AT223;611;Leoben;61104;Hieflau;689;2672;2013
AT2;AT22;AT223;611;Leoben;61105;Kalwang;376;936;2013
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;1254;1631;2013
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;501;1190;2013
AT2;AT22;AT223;611;Leoben;61108;Leoben;42057;89667;2013
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;3066;6147;2013
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;6859;14150;2013
AT2;AT22;AT223;611;Leoben;61111;Proleb;263;368;2013
AT2;AT22;AT223;611;Leoben;61112;Radmer;517;1120;2013
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;1448;4754;2013
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;708;1587;2013
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;10002;38377;2013
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;971;5145;2013
AT2;AT22;AT222;612;Liezen;61120;Trofaiach;5477;17258;2013
