NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_NAT;POP_FOR_NAT;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;222573;43205;265778;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;1365;42;1407;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;7650;459;8109;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;1365;37;1402;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;2815;95;2910;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;155;6;161;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;2190;71;2261;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;262;5;267;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;1478;38;1516;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;983;11;994;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;295;0;295;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;2792;70;2862;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;1403;17;1420;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;397;22;419;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;2029;67;2096;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;186;8;194;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;3212;127;3339;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;925;17;942;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;1028;23;1051;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;152;1;153;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;1557;35;1592;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;1590;47;1637;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;1647;46;1693;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;1371;30;1401;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);1399;34;1433;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;1738;56;1794;01.01.2013
