NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;GRUE   ;FPOE   ;BZOE   ;KPOE   ;LIF    ;DEM    ;MUT    ;KI     ;CPOE   ;WIR    ;ECHT6  ;IGS    ;ECHT8  ;PH     ;AKTIV  ;AL     ;SLP    ;WIFF   ;IBFS   ;         
AT1;AT13;AT130;;1;1;0;0;0;1252877;794165;19393;319719;120674;117621;182337;8539;10611;6648;1103;321;122;501;566;314;43;1420;856;119;119;197;2600;342;         
AT1;AT13;AT130;;2;1;1;0;0;13662;8691;116;2010;3254;1575;883;99;80;108;0;0;0;0;566;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;2;0;0;66212;39867;1039;16419;4313;8070;8152;449;969;400;0;0;56;0;0;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;3;0;0;63794;39923;865;15857;6619;7703;7040;441;766;382;0;0;0;250;0;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;4;0;0;23791;15108;269;4188;4174;4183;1788;148;188;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;5;0;0;37643;22395;602;8992;2916;4982;3863;190;608;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;6;0;0;23227;14612;368;5285;2576;3716;1584;111;252;231;0;132;0;0;0;314;43;0;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;7;0;0;23532;15108;268;3773;2062;6744;1583;139;255;165;0;119;0;0;0;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;8;0;0;18630;12418;203;2866;3363;2960;1094;132;149;161;0;70;0;0;0;0;0;1420;0;0;0;0;0;0;         
AT1;AT13;AT130;;2;1;9;0;0;30673;19243;409;6058;4142;5369;2373;225;372;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;         
