NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;DEATHS;YEAR
AT2;AT22;AT221;606;Graz-Umgebung;60637;Rohrbach-Steinberg;12;2012
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;11;2012
AT2;AT22;AT221;606;Graz-Umgebung;60640;Sankt Marein bei Graz;11;2012
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;13;2012
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;21;2012
AT2;AT22;AT221;606;Graz-Umgebung;60643;Schrems bei Frohnleiten;2;2012
AT2;AT22;AT221;606;Graz-Umgebung;60644;Seiersberg;55;2012
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;52;2012
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;20;2012
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;4;2012
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;14;2012
AT2;AT22;AT221;606;Graz-Umgebung;60649;Tulwitz;2;2012
AT2;AT22;AT221;606;Graz-Umgebung;60650;Tyrnau;0;2012
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;33;2012
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;76;2012
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;30;2012
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;19;2012
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;17;2012
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;9;2012
AT2;AT22;AT221;606;Graz-Umgebung;60657;Zettling;9;2012
AT2;AT22;AT221;606;Graz-Umgebung;60658;Zwaring-Pöls;6;2012
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;26;2012
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;25;2012
AT2;AT22;AT225;610;Leibnitz;61003;Berghausen;1;2012
AT2;AT22;AT225;610;Leibnitz;61004;Breitenfeld am Tannenriegel;0;2012
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;8;2012
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;8;2012
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf;4;2012
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf;16;2012
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;29;2012
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;18;2012
