NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;LIVEBIRTHS;YEAR
AT2;AT22;AT221;606;Graz-Umgebung;60637;Rohrbach-Steinberg;16;2012
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;7;2012
AT2;AT22;AT221;606;Graz-Umgebung;60640;Sankt Marein bei Graz;20;2012
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;13;2012
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;8;2012
AT2;AT22;AT221;606;Graz-Umgebung;60643;Schrems bei Frohnleiten;4;2012
AT2;AT22;AT221;606;Graz-Umgebung;60644;Seiersberg;74;2012
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;38;2012
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;24;2012
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;6;2012
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;17;2012
AT2;AT22;AT221;606;Graz-Umgebung;60649;Tulwitz;4;2012
AT2;AT22;AT221;606;Graz-Umgebung;60650;Tyrnau;2;2012
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;14;2012
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;21;2012
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;33;2012
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;22;2012
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;20;2012
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;12;2012
AT2;AT22;AT221;606;Graz-Umgebung;60657;Zettling;16;2012
AT2;AT22;AT221;606;Graz-Umgebung;60658;Zwaring-Pöls;17;2012
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;9;2012
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;13;2012
AT2;AT22;AT225;610;Leibnitz;61003;Berghausen;6;2012
AT2;AT22;AT225;610;Leibnitz;61004;Breitenfeld am Tannenriegel;2;2012
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;8;2012
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;9;2012
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf;11;2012
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf;10;2012
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;32;2012
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;12;2012
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;14;2012
AT2;AT22;AT225;610;Leibnitz;61012;Gralla;17;2012
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;26;2012
AT2;AT22;AT225;610;Leibnitz;61014;Hainsdorf im Schwarzautal;5;2012
AT2;AT22;AT225;610;Leibnitz;61015;Heiligenkreuz am Waasen;18;2012
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;18;2012
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;14;2012
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;19;2012
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;14;2012
AT2;AT22;AT225;610;Leibnitz;61020;Lang;7;2012
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;16;2012
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;78;2012
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;4;2012
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;11;2012
AT2;AT22;AT225;610;Leibnitz;61025;Obervogau;11;2012
AT2;AT22;AT225;610;Leibnitz;61026;Pistorf;11;2012
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;11;2012
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;5;2012
AT2;AT22;AT225;610;Leibnitz;61029;Retznei;4;2012
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;12;2012
AT2;AT22;AT225;610;Leibnitz;61031;Sankt Georgen an der Stiefing;13;2012
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;15;2012
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;21;2012
AT2;AT22;AT225;610;Leibnitz;61034;Sankt Nikolai ob Draßling;9;2012
