NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;GRUE   ;FPOE   ;BZOE   ;LIF    ;KPOE   ;LINKE  ;RETTO  ;DC     ;TRP    ;FRITZ  ;                                                                                 
AT1;AT13;AT130;;1;9;0;0;0;1158122;852538;12221;292371;140530;134096;171658;39863;34880;9057;1051;5053;2855;2224;6679;                                                                                 
AT1;AT13;AT130;;2;9;1;0;0;112558;82927;1127;23749;16471;18580;12225;3357;4560;1186;138;437;297;206;594;                                                                                 
AT1;AT13;AT130;;2;9;2;0;0;100304;75070;948;16605;18451;20584;7540;2913;5398;1050;119;385;300;236;541;                                                                                 
AT1;AT13;AT130;;2;9;3;0;0;110370;77411;1139;28890;9588;12915;15788;3415;3128;1035;156;417;240;187;513;                                                                                 
AT1;AT13;AT130;;2;9;4;0;0;231281;165122;2312;68075;17625;16485;43987;7624;4330;1497;188;920;441;397;1241;                                                                                 
AT1;AT13;AT130;;2;9;5;0;0;212248;160481;2374;52650;31060;25055;29725;7816;6711;1509;172;999;653;395;1362;                                                                                 
AT1;AT13;AT130;;2;9;6;0;0;176915;132072;1834;38800;29583;24155;21586;5714;6347;1322;153;763;470;338;1007;                                                                                 
AT1;AT13;AT130;;2;9;7;0;0;214446;159337;2369;63602;17752;16322;40807;9024;4406;1458;125;1132;454;465;1421;                                                                                 
AT1;AT13;AT130;;2;9;8;0;0;0;118;118;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                 
AT1;AT13;AT130;90301;3;9;1;3;0;57747;40246;588;11859;7996;8388;6238;1649;2110;573;56;223;172;101;293;                                                                                 
AT1;AT13;AT130;90401;3;9;1;4;0;21327;15095;153;3498;3733;3902;1704;575;1048;199;21;73;55;35;99;                                                                                 
AT1;AT13;AT130;90501;3;9;1;5;0;33484;22429;325;7140;3298;5228;3627;865;1168;352;52;109;54;59;152;                                                                                 
AT1;AT13;AT130;;3;9;1;91;0;0;5157;61;1252;1444;1062;656;268;234;62;9;32;16;11;50;                                                                                 
AT1;AT13;AT130;90101;3;9;2;1;0;14009;9278;88;1673;3562;1827;749;454;640;85;7;47;43;39;64;                                                                                 
AT1;AT13;AT130;90601;3;9;2;6;0;21022;14352;192;3355;2948;4048;1633;559;1060;238;27;75;65;53;99;                                                                                 
AT1;AT13;AT130;90701;3;9;2;7;0;20910;14815;194;3449;2742;4773;1436;517;1150;253;27;55;52;50;117;                                                                                 
AT1;AT13;AT130;90801;3;9;2;8;0;16763;12026;148;2434;3115;3484;1108;449;897;166;18;54;37;39;77;                                                                                 
AT1;AT13;AT130;90901;3;9;2;9;0;27600;19502;257;4716;4452;5242;2097;718;1338;269;30;121;83;45;134;                                                                                 
AT1;AT13;AT130;;3;9;2;92;0;0;5097;69;978;1632;1210;517;216;313;39;10;33;20;10;50;                                                                                 
AT1;AT13;AT130;90201;3;9;3;2;0;58886;39466;552;13801;5247;7719;7185;1720;1858;601;71;237;132;91;252;                                                                                 
AT1;AT13;AT130;92001;3;9;3;20;0;51484;33762;514;13704;3479;4517;7934;1489;1099;394;82;159;91;88;212;                                                                                 
AT1;AT13;AT130;;3;9;3;93;0;0;4183;73;1385;862;679;669;206;171;40;3;21;17;8;49;                                                                                 
AT1;AT13;AT130;91001;3;9;4;10;0;114291;77423;1065;32800;7476;7003;21711;3498;1773;680;91;394;189;171;572;                                                                                 
AT1;AT13;AT130;91101;3;9;4;11;0;59389;41035;557;17448;3525;3342;11975;2067;985;363;30;246;113;112;272;                                                                                 
AT1;AT13;AT130;91201;3;9;4;12;0;57601;38781;570;14631;5241;5367;8731;1677;1331;388;61;250;126;93;315;                                                                                 
AT1;AT13;AT130;;3;9;4;94;0;0;7883;120;3196;1383;773;1570;382;241;66;6;30;13;21;82;                                                                                 
AT1;AT13;AT130;91301;3;9;5;13;0;39979;30662;415;7649;9587;5079;4142;1381;1545;218;19;190;110;68;259;                                                                                 
AT1;AT13;AT130;91401;3;9;5;14;0;61088;43543;725;14030;7985;7172;8270;2111;1837;399;46;297;180;114;377;                                                                                 
AT1;AT13;AT130;91501;3;9;5;15;0;41139;26575;409;9812;3051;4972;5233;1029;1088;380;52;158;136;63;192;                                                                                 
AT1;AT13;AT130;92301;3;9;5;23;0;70042;53046;743;19046;8903;6823;11022;2916;1964;461;51;317;203;137;460;                                                                                 
AT1;AT13;AT130;;3;9;5;95;0;0;6655;82;2113;1534;1009;1058;379;277;51;4;37;24;13;74;                                                                                 
AT1;AT13;AT130;91601;3;9;6;16;0;59355;40289;570;14867;5421;6726;8275;1665;1553;484;43;223;95;87;280;                                                                                 
AT1;AT13;AT130;91701;3;9;6;17;0;33842;23530;333;6869;4571;4709;4110;1081;1093;249;36;152;86;59;182;                                                                                 
AT1;AT13;AT130;91801;3;9;6;18;0;33159;24258;340;5247;6977;5651;2894;920;1435;253;25;123;124;63;206;                                                                                 
AT1;AT13;AT130;91901;3;9;6;19;0;50559;37384;499;10029;10903;5850;5346;1746;1946;275;43;218;148;108;273;                                                                                 
AT1;AT13;AT130;;3;9;6;96;0;0;6611;92;1788;1711;1219;961;302;320;61;6;47;17;21;66;                                                                                 
AT1;AT13;AT130;92101;3;9;7;21;0;103029;73287;1130;29563;8017;7042;19442;4011;1805;700;58;533;185;197;604;                                                                                 
AT1;AT13;AT130;92201;3;9;7;22;0;111417;80993;1169;31897;8949;8780;20415;4722;2443;718;66;561;251;248;774;                                                                                 
AT1;AT13;AT130;;3;9;7;97;0;0;5057;70;2142;786;500;950;291;158;40;1;38;18;20;43;                                                                                 
AT1;AT13;AT130;;3;9;8;98;0;0;118;118;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                 
