Geburtsland in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna by sex and of Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91001;1004;2;3844;520;326;66;103;113;31;92;44;29;507;2013;20110101
AT1;AT13;AT130;91001;1005;2;8804;913;788;113;245;352;87;169;77;84;982;4994;20110101
AT1;AT13;AT130;91001;1006;2;5850;766;627;84;180;327;50;138;55;40;795;2788;20110101
AT1;AT13;AT130;91001;1007;2;6074;478;283;75;134;213;42;100;72;59;631;3987;20110101
AT1;AT13;AT130;91001;1008;2;4766;538;387;74;139;218;34;111;47;47;540;2631;20110101
AT1;AT13;AT130;91001;1009;2;2485;175;119;28;47;78;9;40;34;20;208;1727;20110101
AT1;AT13;AT130;91001;1010;2;8396;663;555;115;143;233;34;97;113;53;638;5752;20110101
AT1;AT13;AT130;91001;1011;2;4540;212;374;51;68;59;11;26;60;19;407;3253;20110101
AT1;AT13;AT130;91001;1012;2;1237;44;30;21;42;35;8;23;9;12;202;811;20110101
AT1;AT13;AT130;91001;1013;2;2630;154;75;34;21;36;12;16;44;14;114;2110;20110101
AT1;AT13;AT130;91001;1014;2;2190;95;54;41;21;17;7;11;26;18;101;1799;20110101
AT1;AT13;AT130;91001;1015;2;2847;124;84;28;56;108;23;27;27;21;175;2174;20110101
AT1;AT13;AT130;91001;1016;2;3119;87;53;43;33;25;5;22;56;27;184;2584;20110101
AT1;AT13;AT130;91001;1017;2;450;8;3;6;1;0;1;1;2;4;14;410;20110101
AT1;AT13;AT130;91001;1018;2;2234;47;15;40;38;28;3;17;20;17;114;1895;20110101
AT1;AT13;AT130;91001;1019;2;1376;51;15;30;22;9;4;18;14;17;82;1114;20110101
AT1;AT13;AT130;91001;1020;2;5240;162;276;83;78;35;18;41;81;33;229;4204;20110101
AT1;AT13;AT130;91001;1021;2;3570;87;97;43;83;23;14;15;32;26;210;2940;20110101
AT1;AT13;AT130;91001;1022;2;3257;291;180;56;136;132;27;94;41;35;453;1812;20110101
AT1;AT13;AT130;91001;1023;2;4891;408;358;69;92;146;28;103;58;27;446;3156;20110101
AT1;AT13;AT130;91001;1099;2;264;8;5;3;10;2;0;1;0;0;12;223;20110101
AT1;AT13;AT130;91101;1101;2;863;28;10;43;19;11;5;20;11;16;155;545;20110101
AT1;AT13;AT130;91101;1102;2;6922;630;379;95;140;183;40;125;78;63;711;4478;20110101
AT1;AT13;AT130;91101;1103;2;8131;724;575;119;212;289;63;163;79;82;891;4934;20110101
AT1;AT13;AT130;91101;1104;2;2256;207;114;20;53;61;13;26;25;13;217;1507;20110101
AT1;AT13;AT130;91101;1105;2;5302;254;217;74;108;101;20;62;51;33;374;4008;20110101
AT1;AT13;AT130;91101;1106;2;157;11;9;0;1;4;0;1;1;1;5;124;20110101
AT1;AT13;AT130;91101;1107;2;3495;169;155;54;62;55;12;38;51;28;203;2668;20110101
AT1;AT13;AT130;91101;1108;2;431;8;1;1;7;7;4;0;3;2;19;379;20110101
AT1;AT13;AT130;91101;1109;2;1255;43;8;30;32;8;6;33;10;14;66;1005;20110101
AT1;AT13;AT130;91101;1110;2;13178;548;619;174;296;308;52;243;131;105;925;9777;20110101
AT1;AT13;AT130;91101;1111;2;2241;89;74;22;43;39;7;63;26;51;421;1406;20110101
AT1;AT13;AT130;91101;1112;2;160;6;2;3;0;2;0;10;0;3;8;126;20110101
AT1;AT13;AT130;91101;1113;2;2181;89;47;49;73;31;14;25;31;22;141;1659;20110101
AT1;AT13;AT130;91101;1199;2;72;1;0;1;0;0;0;0;0;1;0;69;20110101
AT1;AT13;AT130;91201;1201;2;1986;191;104;40;50;63;15;33;25;19;281;1165;20110101
AT1;AT13;AT130;91201;1202;2;8947;877;484;153;317;312;70;148;97;79;1051;5359;20110101
AT1;AT13;AT130;91201;1203;2;2580;202;214;36;50;61;12;37;29;18;305;1616;20110101
AT1;AT13;AT130;91201;1204;2;4252;398;212;98;120;127;41;105;41;51;528;2531;20110101
AT1;AT13;AT130;91201;1205;2;4278;343;229;95;112;116;39;65;54;37;447;2741;20110101
AT1;AT13;AT130;91201;1206;2;4467;433;130;184;135;134;35;72;53;65;483;2743;20110101
AT1;AT13;AT130;91201;1207;2;3578;178;153;67;72;52;16;37;45;31;324;2603;20110101
AT1;AT13;AT130;91201;1208;2;2219;212;113;36;59;89;17;20;38;16;191;1428;20110101
AT1;AT13;AT130;91201;1209;2;4084;257;320;32;59;75;16;27;30;23;549;2696;20110101
AT1;AT13;AT130;91201;1210;2;4768;197;182;84;103;152;38;59;49;39;420;3445;20110101
AT1;AT13;AT130;91201;1211;2;5068;136;73;131;80;51;27;54;69;39;335;4073;20110101
AT1;AT13;AT130;91201;1299;2;42;0;0;0;2;1;0;0;0;0;0;39;20110101
