Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;CZE;-13;39;264;225;-52;73;125;498;2009
AT1;AT13;AT130;00000;00000000;2;REST-EU;277;270;1430;1160;7;129;122;1121;2009
AT1;AT13;AT130;00000;00000000;2;SCG;273;281;1236;955;-8;253;261;4429;2009
AT1;AT13;AT130;00000;00000000;2;TUR;416;374;945;571;42;213;171;3592;2009
AT1;AT13;AT130;00000;00000000;2;BIH;157;79;380;301;78;269;191;1923;2009
AT1;AT13;AT130;00000;00000000;2;HRV;76;73;228;155;3;49;46;530;2009
AT1;AT13;AT130;00000;00000000;2;MKD;115;114;203;89;1;44;43;485;2009
AT1;AT13;AT130;00000;00000000;2;RUS;681;219;515;296;462;598;136;1184;2009
AT1;AT13;AT130;00000;00000000;2;CHN;22;6;416;410;16;137;121;829;2009
AT1;AT13;AT130;00000;00000000;2;OTHER;1473;999;4614;3615;474;1116;642;6724;2009
AT1;AT13;AT130;00000;00000000;1;AUT;-877;-983;3109;4092;106;11018;10912;41079;2009
AT1;AT13;AT130;00000;00000000;1;DEU;989;1044;2235;1191;-55;344;399;2068;2009
AT1;AT13;AT130;00000;00000000;1;POL;29;79;1405;1326;-50;128;178;1815;2009
AT1;AT13;AT130;00000;00000000;1;ROU;635;729;2113;1384;-94;165;259;1233;2009
AT1;AT13;AT130;00000;00000000;1;SVK;40;74;570;496;-34;60;94;377;2009
AT1;AT13;AT130;00000;00000000;1;HUN;207;244;834;590;-37;90;127;502;2009
AT1;AT13;AT130;00000;00000000;1;BGR;343;341;948;607;2;32;30;554;2009
AT1;AT13;AT130;00000;00000000;1;CZE;-56;-20;194;214;-36;31;67;240;2009
AT1;AT13;AT130;00000;00000000;1;REST-EU;197;217;1691;1474;-20;181;201;1199;2009
AT1;AT13;AT130;00000;00000000;1;SCG;-19;5;1715;1710;-24;298;322;5059;2009
