Unselbstständiges Einkommen nach Bezirk und Geschlecht ab 2002;;;;;;;;;;;;;;
Income from dependent employment by district and sex since 2002;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;90301;0;1.294.785.543;761.001.758;533.783.784;22.054;25.152;18.898;33.536;36.930;29.273;20111231
AT1;AT13;AT130;90401;0;501.993.547;295.600.763;206.392.784;23.672;27.557;19.862;37.539;41.819;32.425;20111231
AT1;AT13;AT130;90501;0;688.914.810;391.128.771;297.786.040;18.532;20.023;16.928;28.622;30.248;26.528;20111231
AT1;AT13;AT130;90601;0;476.063.891;274.648.056;201.415.835;21.989;24.772;19.168;34.513;38.191;30.102;20111231
AT1;AT13;AT130;90701;0;518.118.193;292.599.573;225.518.620;22.659;25.823;19.663;35.408;38.529;31.787;20111231
AT1;AT13;AT130;90801;0;395.074.477;226.840.619;168.233.858;23.262;26.869;19.829;37.317;41.277;32.721;20111231
AT1;AT13;AT130;90901;0;643.841.659;368.058.098;275.783.562;22.229;25.361;19.209;36.284;40.147;31.833;20111231
AT1;AT13;AT130;91001;0;2.068.160.761;1.227.131.787;841.028.974;18.012;19.581;16.197;25.880;27.122;24.032;20111231
AT1;AT13;AT130;91101;0;1.189.842.984;707.193.693;482.649.290;18.958;20.881;16.792;26.008;27.378;23.957;20111231
AT1;AT13;AT130;91201;0;1.080.309.105;629.134.930;451.174.175;18.486;20.069;16.720;27.330;28.705;25.385;20111231
AT1;AT13;AT130;91301;0;872.524.690;535.333.847;337.190.844;27.763;34.204;21.671;40.116;46.201;32.408;20111231
AT1;AT13;AT130;91401;0;1.239.051.043;715.190.394;523.860.649;21.670;24.414;18.907;31.227;33.783;27.904;20111231
AT1;AT13;AT130;91501;0;799.329.590;459.639.537;339.690.053;16.416;17.342;15.347;25.289;26.189;24.016;20111231
AT1;AT13;AT130;91601;0;1.188.121.401;683.026.904;505.094.497;18.251;19.548;16.800;27.301;28.646;25.487;20111231
AT1;AT13;AT130;91701;0;706.472.600;415.709.327;290.763.273;19.510;21.761;17.109;30.594;33.120;27.204;20111231
AT1;AT13;AT130;91801;0;768.979.978;459.492.996;309.486.981;23.771;28.412;19.339;36.979;41.831;31.041;20111231
AT1;AT13;AT130;91901;0;1.061.514.185;661.784.125;399.730.060;25.372;30.828;19.915;39.197;45.084;31.641;20111231
AT1;AT13;AT130;92001;0;936.148.830;544.214.054;391.934.776;17.334;18.534;15.951;25.798;26.731;24.439;20111231
AT1;AT13;AT130;92101;0;1.958.993.025;1.149.129.979;809.863.046;20.325;22.816;17.706;28.091;30.093;25.281;20111231
AT1;AT13;AT130;92201;0;2.486.902.806;1.467.714.564;1.019.188.241;22.026;25.197;18.790;29.724;32.105;26.349;20111231
AT1;AT13;AT130;92301;0;1.466.215.847;872.954.280;593.261.567;23.303;27.206;19.423;32.006;35.123;27.767;20111231
