NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn;1084;1441;1628;1590;1152;646;7541;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60614;Gratwein;513;679;821;877;551;241;3682;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60615;Großstübing;42;58;71;75;56;35;337;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60616;Gschnaidt;43;66;64;74;60;37;344;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60617;Hart bei Graz;639;761;880;1172;692;319;4463;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad;190;222;287;338;239;71;1347;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60619;Hausmannstätten;440;464;638;658;462;186;2848;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60620;Hitzendorf;572;632;774;862;493;302;3635;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60621;Höf-Präbach;224;253;316;319;236;87;1435;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;876;903;1291;1343;880;417;5710;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz;316;382;494;726;481;232;2631;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;827;1120;1380;1326;798;417;5868;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60625;Krumegg;202;256;315;377;197;96;1443;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg;611;571;765;941;471;251;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60627;Langegg bei Graz;126;121;210;181;136;60;834;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;359;472;556;639;402;267;2695;01.01.2012
