Sterbefälle in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;
Deaths of residents in Vienna by sex and Vienna subdistrict ;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;DEATH;REF_YEAR
AT1;AT13;AT130;90701;799;2;11;2010
AT1;AT13;AT130;90801;801;2;16;2010
AT1;AT13;AT130;90801;802;2;46;2010
AT1;AT13;AT130;90801;803;2;28;2010
AT1;AT13;AT130;90801;899;2;11;2010
AT1;AT13;AT130;90901;901;2;34;2010
AT1;AT13;AT130;90901;902;2;94;2010
AT1;AT13;AT130;90901;903;2;13;2010
AT1;AT13;AT130;90901;904;2;37;2010
AT1;AT13;AT130;90901;905;2;21;2010
AT1;AT13;AT130;90901;906;2;5;2010
AT1;AT13;AT130;90901;999;2;20;2010
AT1;AT13;AT130;91001;1002;2;85;2010
AT1;AT13;AT130;91001;1003;2;41;2010
AT1;AT13;AT130;91001;1004;2;31;2010
AT1;AT13;AT130;91001;1005;2;41;2010
AT1;AT13;AT130;91001;1006;2;34;2010
AT1;AT13;AT130;91001;1007;2;44;2010
AT1;AT13;AT130;91001;1008;2;20;2010
AT1;AT13;AT130;91001;1009;2;48;2010
AT1;AT13;AT130;91001;1010;2;112;2010
AT1;AT13;AT130;91001;1011;2;49;2010
AT1;AT13;AT130;91001;1013;2;30;2010
AT1;AT13;AT130;91001;1014;2;25;2010
AT1;AT13;AT130;91001;1015;2;12;2010
AT1;AT13;AT130;91001;1016;2;47;2010
AT1;AT13;AT130;91001;1017;2;1;2010
AT1;AT13;AT130;91001;1018;2;14;2010
AT1;AT13;AT130;91001;1019;2;12;2010
AT1;AT13;AT130;91001;1020;2;76;2010
AT1;AT13;AT130;91001;1021;2;38;2010
AT1;AT13;AT130;91001;1022;2;26;2010
AT1;AT13;AT130;91001;1023;2;65;2010
AT1;AT13;AT130;91001;1099;2;92;2010
AT1;AT13;AT130;91101;1101;2;2;2010
AT1;AT13;AT130;91101;1102;2;49;2010
AT1;AT13;AT130;91101;1103;2;57;2010
AT1;AT13;AT130;91101;1104;2;14;2010
AT1;AT13;AT130;91101;1105;2;40;2010
AT1;AT13;AT130;91101;1106;2;1;2010
AT1;AT13;AT130;91101;1107;2;33;2010
AT1;AT13;AT130;91101;1108;2;2;2010
AT1;AT13;AT130;91101;1109;2;27;2010
AT1;AT13;AT130;91101;1110;2;83;2010
AT1;AT13;AT130;91101;1111;2;23;2010
AT1;AT13;AT130;91101;1112;2;2;2010
AT1;AT13;AT130;91101;1113;2;10;2010
AT1;AT13;AT130;91101;1199;2;32;2010
AT1;AT13;AT130;91201;1201;2;12;2010
AT1;AT13;AT130;91201;1202;2;95;2010
AT1;AT13;AT130;91201;1203;2;23;2010
AT1;AT13;AT130;91201;1204;2;26;2010
AT1;AT13;AT130;91201;1205;2;35;2010
AT1;AT13;AT130;91201;1206;2;49;2010
AT1;AT13;AT130;91201;1207;2;63;2010
AT1;AT13;AT130;91201;1208;2;19;2010
AT1;AT13;AT130;91201;1209;2;31;2010
AT1;AT13;AT130;91201;1210;2;36;2010
AT1;AT13;AT130;91201;1211;2;60;2010
AT1;AT13;AT130;91201;1299;2;45;2010
AT1;AT13;AT130;91301;1301;2;4;2010
AT1;AT13;AT130;91301;1302;2;35;2010
AT1;AT13;AT130;91301;1303;2;45;2010
AT1;AT13;AT130;91301;1304;2;70;2010
AT1;AT13;AT130;91301;1305;2;44;2010
AT1;AT13;AT130;91301;1306;2;7;2010
AT1;AT13;AT130;91301;1307;2;16;2010
AT1;AT13;AT130;91301;1308;2;58;2010
AT1;AT13;AT130;91301;1309;2;121;2010
AT1;AT13;AT130;91301;1311;2;18;2010
AT1;AT13;AT130;91301;1399;2;35;2010
AT1;AT13;AT130;91401;1401;2;15;2010
AT1;AT13;AT130;91401;1402;2;23;2010
AT1;AT13;AT130;91401;1403;2;31;2010
AT1;AT13;AT130;91401;1404;2;80;2010
AT1;AT13;AT130;91401;1405;2;17;2010
AT1;AT13;AT130;91401;1406;2;106;2010
AT1;AT13;AT130;91401;1407;2;17;2010
AT1;AT13;AT130;91401;1408;2;20;2010
AT1;AT13;AT130;91401;1409;2;19;2010
AT1;AT13;AT130;91401;1410;2;29;2010
AT1;AT13;AT130;91401;1411;2;55;2010
AT1;AT13;AT130;91401;1412;2;21;2010
AT1;AT13;AT130;91401;1499;2;42;2010
AT1;AT13;AT130;91501;1501;2;47;2010
AT1;AT13;AT130;91501;1502;2;22;2010
AT1;AT13;AT130;91501;1503;2;27;2010
AT1;AT13;AT130;91501;1504;2;20;2010
AT1;AT13;AT130;91501;1505;2;57;2010
AT1;AT13;AT130;91501;1506;2;43;2010
AT1;AT13;AT130;91501;1507;2;63;2010
AT1;AT13;AT130;91501;1599;2;35;2010
AT1;AT13;AT130;91601;1601;2;36;2010
AT1;AT13;AT130;91601;1602;2;22;2010
