NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;GRUE   ;FPOE   ;BZOE   ;KPOE   ;LIF    ;MUT    ;SLP    ;DEM    ;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;103;571;271;4;155;10;14;81;2;4;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;104;495;277;5;150;15;35;62;5;2;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;105;516;325;5;166;16;8;129;0;0;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;106;461;282;6;172;8;17;72;3;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;107;954;551;17;270;35;73;140;7;6;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;108;579;348;8;176;35;64;53;1;9;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;109;739;433;6;177;46;129;55;5;10;5;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;110;550;266;8;116;23;19;92;2;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;111;0;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;112;0;4600;51;2113;689;757;840;49;72;29;0;0;0;                                                                                                 
AT1;AT13;AT130;90201;4;1;3;2;113;0;1867;16;698;254;560;277;22;26;14;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;0;0;274;6;105;59;44;44;2;8;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;1;468;274;5;122;46;60;33;4;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;2;519;282;16;100;34;75;43;5;5;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;3;403;194;7;73;26;40;41;1;6;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;4;357;217;0;92;29;59;28;3;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;5;553;302;4;131;23;67;69;3;1;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;6;513;260;3;113;29;39;58;5;9;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;7;411;218;6;79;23;43;51;5;6;5;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;8;426;217;6;82;27;65;28;4;4;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;9;652;354;8;138;75;70;50;3;5;5;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;10;605;319;7;114;63;70;55;3;4;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;11;550;296;10;116;36;56;66;5;1;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;12;462;267;8;98;40;63;47;5;5;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;13;582;330;11;134;56;72;43;5;5;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;14;816;433;9;178;67;87;78;7;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;15;486;253;9;96;40;53;48;5;1;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;16;456;215;7;93;30;43;30;5;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;17;565;369;8;162;74;43;68;9;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;18;518;262;6;99;62;57;30;0;2;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;19;512;270;10;108;67;48;33;1;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;20;462;306;13;99;52;54;71;8;5;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;21;511;284;6;118;40;39;70;7;1;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;22;466;258;4;102;52;44;44;9;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;23;795;463;10;164;76;98;98;2;6;9;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;24;481;256;10;86;42;71;40;3;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;25;358;199;6;74;20;55;36;1;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;26;765;421;21;137;81;89;75;6;8;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;27;541;304;10;135;32;52;63;5;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;28;302;162;2;65;22;45;20;3;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;29;240;152;1;67;21;43;18;0;0;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;30;329;164;6;64;26;24;37;3;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;31;654;352;11;184;35;54;59;1;5;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;32;689;425;16;192;73;46;85;4;7;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;33;413;232;2;130;13;24;53;4;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;34;526;273;9;108;35;50;55;5;5;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;35;425;225;8;121;12;19;61;0;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;36;498;281;12;129;28;25;74;2;9;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;37;726;360;15;173;34;40;90;0;8;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;38;474;232;3;138;9;15;61;0;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;39;403;226;4;122;8;4;84;3;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;40;461;239;7;125;11;14;72;3;6;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;41;574;288;6;142;36;32;63;2;3;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;42;514;299;13;149;24;32;66;2;7;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;43;369;182;3;106;6;18;46;0;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;44;393;200;9;106;18;25;38;1;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;45;705;347;11;163;19;31;115;2;6;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;46;508;279;12;137;18;29;77;2;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;47;555;311;5;171;13;20;95;2;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;48;475;237;9;120;21;15;65;2;4;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;49;448;232;6;110;33;25;50;6;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;50;471;262;9;95;35;59;58;2;1;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;51;536;309;10;119;37;66;63;4;8;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;52;545;306;14;130;39;37;74;4;5;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;53;597;332;9;130;53;50;77;4;3;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;54;335;224;10;161;18;2;27;2;4;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;55;715;411;10;218;24;40;107;3;7;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;56;429;226;5;99;29;32;55;0;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;57;671;326;12;166;24;22;93;3;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;58;501;280;13;96;56;63;43;3;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;59;443;265;20;90;54;50;33;7;7;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;60;552;346;13;117;82;56;64;4;6;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;61;426;208;7;67;49;42;36;4;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;62;545;291;8;135;28;66;43;3;7;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;63;403;316;6;111;73;48;54;10;8;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;64;453;246;13;87;68;25;40;6;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;65;498;251;6;94;60;49;30;10;1;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;66;635;338;13;154;56;49;58;1;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;67;521;263;9;87;55;54;50;4;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;68;531;307;21;106;56;53;65;2;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;69;450;233;6;74;54;48;45;1;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;70;681;360;15;142;75;65;56;2;5;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;71;463;291;5;124;49;63;42;4;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;72;591;352;10;142;52;48;82;4;8;6;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;73;460;220;1;98;34;45;34;3;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;74;546;331;5;128;56;52;76;5;5;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;75;590;352;10;162;45;41;83;6;2;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;76;353;187;9;58;53;31;31;2;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;77;315;166;3;69;25;33;30;2;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;78;535;284;10;109;47;45;65;4;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;79;533;248;4;110;26;35;55;5;10;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;80;375;158;2;60;26;11;49;4;2;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;81;555;308;9;107;73;68;40;5;5;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;82;418;210;9;62;56;26;47;9;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;83;458;258;7;132;20;23;69;2;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;84;634;371;15;103;96;85;58;4;2;8;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;85;621;307;9;101;64;78;47;5;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;86;554;280;20;81;92;29;46;5;4;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;87;475;297;9;102;83;52;47;2;0;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;88;460;240;8;90;57;42;33;7;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;89;452;227;10;102;20;29;59;1;5;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;90;471;231;8;83;51;36;46;3;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;91;535;301;16;114;40;64;56;5;2;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;92;472;216;7;105;11;42;47;0;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;93;355;206;5;83;20;49;43;3;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;94;452;192;6;111;25;11;34;3;0;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;95;463;221;4;72;50;36;53;3;1;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;96;645;328;11;138;51;48;66;6;6;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;97;421;223;3;98;25;54;31;8;4;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;98;579;277;7;132;39;46;47;2;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;99;507;281;4;128;36;35;69;2;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;100;379;215;5;79;49;43;32;2;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;101;526;216;9;130;5;7;56;1;5;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;102;431;194;4;104;8;7;69;1;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;103;461;248;1;141;8;10;84;1;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;104;412;232;8;87;35;13;76;6;3;4;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;105;381;221;3;107;8;11;86;3;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;106;383;221;12;73;43;47;43;1;1;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;107;389;222;5;77;51;26;54;6;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;108;646;332;4;100;83;21;115;5;1;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;109;643;369;6;183;55;64;54;3;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;110;307;215;3;85;37;40;45;3;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;111;564;367;13;161;51;71;57;7;4;3;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;112;343;161;1;86;13;8;49;0;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;113;521;282;0;145;20;76;34;3;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;114;0;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;115;0;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;116;0;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;117;0;32;1;11;14;0;4;1;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;118;0;4162;54;1800;878;624;704;46;31;25;0;0;0;                                                                                                 
AT1;AT13;AT130;90301;4;1;4;3;119;0;3318;63;1250;668;715;506;39;36;41;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;0;0;519;22;289;45;29;125;3;3;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;1;674;311;11;134;43;21;93;6;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;2;486;310;7;136;40;39;73;2;11;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;3;456;274;13;134;9;19;86;5;7;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;4;549;271;6;136;27;19;77;2;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;5;662;338;4;153;22;33;112;3;5;6;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;6;530;404;9;243;21;11;104;10;3;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;7;473;226;2;91;36;33;58;3;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;8;377;242;5;111;21;31;63;4;3;4;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;9;614;307;6;145;36;37;76;5;0;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;10;467;269;2;131;16;7;107;3;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;11;716;288;26;100;42;32;78;4;3;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;12;637;290;6;157;20;11;90;2;4;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;13;479;295;5;162;15;18;89;2;1;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;14;491;331;3;185;29;20;85;2;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;15;666;350;8;170;21;30;104;7;7;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;16;523;268;10;130;22;19;84;2;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;17;455;282;5;141;12;11;106;4;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;18;689;369;11;179;25;17;125;4;5;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;19;556;329;7;149;20;5;135;5;8;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;20;573;277;14;109;37;21;90;1;2;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;21;811;422;8;248;24;28;103;6;2;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;22;640;339;13;172;21;23;105;4;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;23;489;299;10;137;16;11;119;3;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;24;662;327;3;156;26;28;109;2;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;25;557;309;10;130;20;30;110;2;4;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;26;595;308;8;164;16;16;94;4;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;27;541;311;7;170;16;9;102;1;6;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;28;358;159;1;87;6;6;55;1;1;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;29;698;436;9;152;68;39;164;3;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;30;383;221;3;113;10;9;82;2;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;31;599;316;3;127;42;28;103;3;5;5;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;32;516;303;9;158;9;8;110;5;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;33;804;383;18;146;52;32;123;6;5;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;34;385;195;2;81;39;18;53;0;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;35;229;169;5;62;68;2;26;6;0;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;36;549;395;13;179;57;31;101;4;4;6;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;37;531;257;11;106;29;23;80;4;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;38;556;246;7;129;13;13;80;1;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;39;271;187;6;81;7;12;77;3;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;40;515;233;5;105;8;7;101;3;1;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;41;575;239;3;125;6;8;91;1;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;42;488;288;2;143;14;7;117;0;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;43;438;244;7;135;6;5;86;1;4;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;44;403;229;11;118;3;8;87;1;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;45;489;225;1;106;17;16;74;5;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;46;413;266;3;137;13;9;96;5;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;47;616;299;9;133;22;29;98;1;6;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;48;397;191;8;110;12;8;49;1;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;49;677;403;22;176;28;11;157;2;7;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;50;953;582;15;236;43;36;236;8;6;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;51;773;389;9;174;27;18;146;5;7;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;52;1049;578;24;300;48;47;143;6;7;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;53;738;323;11;160;23;18;103;4;1;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;54;668;466;27;204;39;25;164;4;1;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;55;406;186;3;85;13;11;68;4;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;56;594;336;8;145;23;26;123;8;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;57;574;314;2;148;34;14;109;0;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;58;433;214;4;112;10;8;74;1;3;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;59;620;312;16;159;14;12;110;0;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;60;997;681;11;227;138;54;232;10;6;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;61;322;140;3;57;14;14;48;2;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;62;857;563;11;192;88;60;185;14;7;6;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;63;549;241;8;102;41;15;71;1;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;64;339;168;1;76;14;11;59;6;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;65;768;319;10;149;29;30;89;2;6;4;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;66;788;468;5;137;89;37;178;11;3;8;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;67;620;323;8;152;15;32;104;5;3;4;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;68;812;353;5;172;36;36;94;3;2;5;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;69;437;277;10;86;78;27;71;3;1;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;70;676;367;8;193;34;26;99;4;2;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;71;741;522;28;182;122;36;140;6;6;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;72;738;390;11;192;35;30;115;2;1;4;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;73;528;260;4;141;19;14;75;5;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;74;534;279;4;133;20;17;97;4;4;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;75;523;299;18;120;22;13;120;4;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;76;445;238;1;129;16;15;76;0;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;77;468;253;5;111;37;14;81;2;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;78;569;308;10;143;23;29;91;5;4;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;79;662;290;9;128;28;23;94;2;2;4;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;80;425;239;4;123;10;7;94;1;0;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;81;422;227;3;114;4;10;92;3;1;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;82;609;287;3;145;10;13;109;2;5;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;83;559;350;5;162;47;41;82;9;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;84;752;378;8;171;40;30;117;5;5;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;85;532;282;10;126;22;21;91;5;4;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;86;616;348;5;158;49;30;98;2;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;87;405;206;11;101;15;17;59;0;3;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;88;791;405;14;187;32;34;126;4;5;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;89;535;292;7;109;3;7;162;2;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;90;827;573;37;315;37;15;156;8;4;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;91;604;363;9;154;12;14;167;3;1;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;92;729;466;16;157;85;43;152;7;4;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;93;638;309;6;147;29;36;84;1;6;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;94;784;402;10;199;17;24;147;1;2;2;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;95;602;324;7;155;25;23;108;2;3;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;96;416;263;11;140;10;5;90;7;0;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;97;625;356;10;181;16;16;127;2;4;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;98;626;367;8;179;34;13;116;10;3;4;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;99;682;326;4;166;36;17;93;5;4;1;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;100;538;321;3;186;15;6;104;4;0;3;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;101;820;365;5;150;17;22;165;4;2;0;0;0;0;                                                                                                 
AT1;AT13;AT130;91001;4;1;5;10;102;758;428;14;190;26;34;143;6;10;5;0;0;0;                                                                                                 
