Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;92201;0000;9,24810255229537;1554,7518742608;47,8637260942274;52,1362739057726;108,926483916304;12,1694685091348;23,3506431454401;25,0367781116797;38,1094400588444;40,4679665738162;62,1034565138122;22,9885201996706;14,9080232865172;1,4340320126743;61,0216332769809;37,0164906917182;24,0051425852626;9,61919622148189;20110101
AT1;AT13;AT130;92301;0000;5,44832325741217;2921,16337791078;46,8433858368549;53,1566141631451;113,477310005467;11,4771417595083;21,4688180304777;23,2552183378153;40,5058091853472;43,7100899381675;60,1272036539036;20,037776924062;19,8350194220344;2,56221453878004;66,3140707085049;33,3256424818969;32,988428226608;12,9176306020337;20110101
AT1;AT13;AT130;90101;0000;,980566259486269;5944,94773519164;47,9310749032939;52,0689250967061;108,632917583761;22,629234556324;36,2149806587739;37,9439690540382;45,2473709953534;47,3707789284106;62,5835189309577;13,4450826397843;23,971398429258;4,09096237252374;59,7864768683274;21,4834238621465;38,3030530061809;17,0660146699267;20120101
AT1;AT13;AT130;90201;0000;5,5402970664046;5011,54086088584;48,7427646729321;51,2572353270679;105,1586541531;28,6539698346507;39,7014584759652;43,4970228833427;38,2169869543936;41,1592293525995;64,7818509989419;19,5545735565652;15,6635754444929;2,4698657704197;54,364221549695;30,1852652479544;24,1789563017406;15,7682119205298;20120101
AT1;AT13;AT130;90301;0000;4,96903762323888;11687,2127602055;47,5769702296963;52,4230297703037;110,185725398678;24,9485323032083;36,2321019638685;38,9269274363304;39,6537096460521;42,6471782200062;66,3794499317619;16,808540167935;16,812009900303;2,62311767019037;50,6490338543028;25,3219033680066;25,3271304862962;15,6026417171161;20120101
AT1;AT13;AT130;90401;0000;1,811823461292;17761,1267605634;47,1769333248747;52,8230666751253;111,9679956969;25,8770538603058;36,744274567024;39,0249318023219;39,9837289047267;42,9921335495106;67,1794709128973;15,6283702340925;17,1921588530102;3,07048150732729;48,8549978752538;23,2636101798952;25,5913876953586;17,859778597786;20120101
AT1;AT13;AT130;90501;0000;3,08106539311443;26658,8761810045;48,9582361828729;51,0417638171271;104,255724463748;30,3855552032232;41,0699296786107;44,6382272294865;37,9968377338362;40,8509720801053;69,5099886217381;16,7036615619929;13,7863498162691;2,15440861017329;43,8642157520462;24,030591708037;19,8336240440091;15,6271140576377;20120101
AT1;AT13;AT130;90601;0000;1,71923805254552;20588,4377150723;47,8188199899716;52,1811800100284;109,122684376092;24,3255891693131;35,3535015878322;37,5530670232325;39,4443201677735;42,2518257527226;70,6735751295337;14,394116663881;14,9323082065853;2,51378906902892;41,4956011730205;20,3670419071043;21,1285592659162;16,8345645847325;20120101
AT1;AT13;AT130;90701;0000;1,77774329531642;19272,8971962617;47,3765881097857;52,6234118902143;111,0747185261;25,0735460511428;34,9852907897714;37,0866065367084;39,1060388945752;41,3142892247205;71,9684479358614;14,0755827110206;13,955969353118;2,25648983286458;38,9497798939898;19,5579911957596;19,3917886982302;16,1686356265925;20120101
AT1;AT13;AT130;90801;0000;1,40016034344532;22351,376146789;48,5613430201535;51,4386569798465;105,925111993914;24,8368427533555;34,3102245207897;36,272216065345;38,8425323303187;41,9411107564635;70,4428847022124;14,4194064770348;15,1377088207528;2,36834544185856;41,9589791399604;20,46964223284;21,4893369071204;15,6453362255965;20120101
AT1;AT13;AT130;90901;0000;2,31998000017241;13605,6622851365;47,6441736028537;52,3558263971463;109,88925284667;26,3773285770908;35,8799048751486;38,2159135949267;38,7068060105028;41,9587887390584;69,9019024970274;14,4792905271502;15,6188069758224;2,76456599286564;43,0576227939613;20,7137288255723;22,343893968389;17,7002379064235;20120101
AT1;AT13;AT130;91001;0000;10,3351982597851;5652,49096338205;48,54421299643;51,45578700357;105,997777752322;26,239754440206;36,8684453440395;40,8966046465073;38,5008533889277;41,5387799211109;62,5410100425948;20,8147513818299;16,6442385755753;2,13585862517655;59,89508313328;33,2817640259625;26,6133191073175;12,8324201523453;20120101
AT1;AT13;AT130;91101;0000;5,28989692617592;3958,07353257364;48,743549350861;51,256450649139;105,155351491107;20,9549676788527;31,4248465424521;34,6743440708349;37,2677082868988;39,841709235041;63,6167092183171;22,1141832799174;14,2691075017654;1,51339018958118;57,1914065168386;34,7615957374138;22,4298107794248;10,6060606060606;20120101
AT1;AT13;AT130;91201;0000;5,1518521392057;11062,9396519807;47,9323538926631;52,0676461073369;108,627350586483;25,6673694543913;36,5393840009817;40,1715694476981;38,2865620927202;41,7694268880557;63,6792610689067;20,1019599968765;16,2187789342168;2,6784021061321;57,0369981080513;31,5675145399762;25,4694835680751;16,5142031776601;20120101
AT1;AT13;AT130;91301;0000;2,9435953138335;1358,01781737194;45,4030730783498;54,5969269216502;120,249408729306;13,1904176184619;22,610749917023;24,1414318905094;42,6490217157601;47,2010084394221;57,4786700247955;17,4583650598411;25,0629649153634;4,75019035904645;73,9775815217391;30,3736413043478;43,6039402173913;18,9530264080393;20120101
AT1;AT13;AT130;91401;0000;4,93202644804786;2541,77650090336;47,4352699899788;52,5647300100212;110,813599292522;18,96804866112;28,1339579109278;30,6532429094129;40,4589269922374;43,7940146309022;63,046214080962;18,0708009974597;18,8829849215782;2,94460369619427;58,6138064873856;28,6627853248313;29,9510211625543;15,5939524838013;20120101
AT1;AT13;AT130;91501;0000;4,21858432254894;18706,4220183486;49,5109258351044;50,4890741648956;101,975621165011;35,7487330390714;46,4674949594028;50,9577134761048;37,4240706600996;40,0362645368447;68,097106424718;18,6679200043594;13,2349735709226;1,88954280420686;46,8491177529708;27,4136758292322;19,4354419237386;14,2768914050437;20120101
AT1;AT13;AT130;91601;0000;5,58592885693514;11205,4415494582;48,8651796370221;51,1348203629779;104,644699442047;29,6987530351043;39,5499814807194;43,5614634347092;38,3583535108959;41,3744592664131;65,9070332112433;18,8423391909132;15,2506275978435;2,11222684061072;51,7288749434115;28,5892692673941;23,1396056760174;13,8500978209539;20120101
AT1;AT13;AT130;91701;0000;3,10049051301282;4726,56386893289;48,4290719012401;51,5709280987599;106,487541623608;28,2841201875846;36,9163469202395;40,6013086433483;38,8781720059708;41,4876356839911;65,7250366086489;18,463734267549;15,8112291238021;2,2836382509407;52,1490213774043;28,0923909978002;24,056630379604;14,443141852286;20120101
AT1;AT13;AT130;91801;0000;2,79635520383445;7695,23960145501;46,06531434326;53,93468565674;117,083073079325;23,1333621061718;32,6838892656761;35,2200094539326;39,5370304274114;42,9283999542735;63,834597283022;17,7076268573895;18,4577758595885;3,34998047557392;56,6548615582743;27,7398583386993;28,915003219575;18,1494265671974;20120101
AT1;AT13;AT130;91901;0000;4,01375850208188;2799,87171263631;45,9092210767469;54,0907789232531;117,821164582229;18,6282932416953;29,7966781214204;31,7167812142039;41,363471914668;45,9952881382852;59,2368270332188;17,5171821305842;23,245990836197;4,52176403207331;68,8139034589447;29,5714389306519;39,2424645282928;19,4518016630736;20120101
AT1;AT13;AT130;92001;0000;4,87967057755249;14869,877408056;49,089003262393;50,910996737607;103,711612284069;30,6276278752046;42,1637791937061;46,4991107918075;37,7958973128599;40,7411571471534;65,1724828341597;19,5437360877195;15,2837810781208;1,87970367578645;53,4389908920052;29,9877114355935;23,4512794564117;12,298682284041;20120101
AT1;AT13;AT130;92101;0000;8,33176725487999;3262,09441519284;47,8692731110406;52,1307268889594;108,902273840745;15,2351456123167;25,2803951053292;27,6932415467601;39,3951698896222;42,0608261882079;61,5158580159201;20,9906603942776;17,4934815898023;1,86861092333798;62,5597093583907;34,1223565293445;28,4373528290462;10,6817554512835;20120101
AT1;AT13;AT130;92201;0000;9,36514915101307;1592,80401145572;47,8868399251327;52,1131600748673;108,825640105595;13,1011628977325;23,9164186431837;25,7966923383756;38,2123433375195;40,620152847941;62,2294498481176;22,7799085637139;14,9906415881685;1,50961922003007;60,6956195885845;36,6063152081731;24,0893043804114;10,0704110037662;20120101
AT1;AT13;AT130;92301;0000;5,45581503607727;2959,31918077247;46,9378081152825;53,0621918847175;113,04786911735;12,2255930560822;21,8809252938946;23,8381157038722;40,5686393321215;43,8539693883628;60,0229638056714;20,005898959255;19,9711372350735;2,67665276197699;66,60290272196;33,3304083817413;33,2724943402187;13,4026056226594;20120101
