Wanderung gegenüber Wien nach Bezirken, Geburtsstaat und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by district, country of birth and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_DC;EMI_DC;MIG_DC_INT;REF_DATE
AT1;AT13;AT130;90201;00000000;1;AUT;-56;11;320;309;-67;643;487;1389;1612;691;2002
AT1;AT13;AT130;90201;00000000;1;DEU;63;42;80;38;21;12;9;60;42;20;2002
AT1;AT13;AT130;90201;00000000;1;POL;18;9;48;39;9;8;4;52;47;27;2002
AT1;AT13;AT130;90201;00000000;1;ROU;41;33;48;15;8;7;5;27;21;6;2002
AT1;AT13;AT130;90201;00000000;1;SVK;11;12;15;3;-1;1;4;7;5;4;2002
AT1;AT13;AT130;90201;00000000;1;HUN;-11;-5;18;23;-6;5;5;15;21;8;2002
AT1;AT13;AT130;90201;00000000;1;BGR;28;20;37;17;8;2;3;23;14;8;2002
AT1;AT13;AT130;90201;00000000;1;CZE;-4;-4;18;22;0;4;6;18;16;9;2002
AT1;AT13;AT130;90201;00000000;1;REST-EU;26;21;78;57;5;8;8;45;40;29;2002
AT1;AT13;AT130;90201;00000000;1;SCG;74;72;218;146;2;31;21;250;258;98;2002
AT1;AT13;AT130;90201;00000000;1;TUR;85;131;199;68;-46;22;18;231;281;104;2002
AT1;AT13;AT130;90201;00000000;1;BIH;-10;37;57;20;-47;9;11;57;102;20;2002
AT1;AT13;AT130;90201;00000000;1;HRV;15;21;32;11;-6;3;5;23;27;13;2002
AT1;AT13;AT130;90201;00000000;1;MKD;23;24;41;17;-1;4;3;24;26;13;2002
AT1;AT13;AT130;90201;00000000;1;RUS;3;-4;29;33;7;2;4;30;21;22;2002
AT1;AT13;AT130;90201;00000000;1;CHN;40;27;32;5;13;7;5;33;22;9;2002
AT1;AT13;AT130;90201;00000000;1;OTHER;119;54;375;321;65;61;28;417;385;146;2002
AT1;AT13;AT130;90301;00000000;2;AUT;-285;-70;153;223;-215;618;484;1159;1508;655;2002
AT1;AT13;AT130;90301;00000000;2;DEU;44;55;88;33;-11;20;23;50;58;19;2002
AT1;AT13;AT130;90301;00000000;2;POL;20;22;44;22;-2;7;3;42;48;23;2002
AT1;AT13;AT130;90301;00000000;2;ROU;23;28;45;17;-5;8;7;23;29;11;2002
AT1;AT13;AT130;90301;00000000;2;SVK;33;34;41;7;-1;6;5;23;25;8;2002
AT1;AT13;AT130;90301;00000000;2;HUN;13;14;23;9;-1;11;2;16;26;9;2002
AT1;AT13;AT130;90301;00000000;2;BGR;-4;9;16;7;-13;1;1;11;24;4;2002
AT1;AT13;AT130;90301;00000000;2;CZE;-3;1;15;14;-4;4;7;23;24;14;2002
AT1;AT13;AT130;90301;00000000;2;REST-EU;-20;4;64;60;-24;9;10;24;47;20;2002
AT1;AT13;AT130;90301;00000000;2;SCG;2;60;119;59;-58;12;15;137;192;70;2002
AT1;AT13;AT130;90301;00000000;2;TUR;52;83;102;19;-31;10;7;80;114;67;2002
AT1;AT13;AT130;90301;00000000;2;BIH;-3;23;33;10;-26;8;5;53;82;21;2002
AT1;AT13;AT130;90301;00000000;2;HRV;17;12;19;7;5;3;2;14;10;4;2002
AT1;AT13;AT130;90301;00000000;2;MKD;4;14;14;0;-10;0;0;6;16;4;2002
AT1;AT13;AT130;90301;00000000;2;RUS;4;-2;13;15;6;5;4;15;10;10;2002
AT1;AT13;AT130;90301;00000000;2;CHN;45;31;41;10;14;17;4;33;32;9;2002
AT1;AT13;AT130;90301;00000000;2;OTHER;85;63;214;151;22;36;25;193;182;52;2002
AT1;AT13;AT130;90301;00000000;1;AUT;-152;3;298;295;-155;676;480;1208;1559;653;2002
AT1;AT13;AT130;90301;00000000;1;DEU;58;56;101;45;2;17;17;53;51;18;2002
AT1;AT13;AT130;90301;00000000;1;POL;-26;11;51;40;-37;3;14;34;60;17;2002
AT1;AT13;AT130;90301;00000000;1;ROU;17;22;44;22;-5;4;6;18;21;6;2002
AT1;AT13;AT130;90301;00000000;1;SVK;4;11;19;8;-7;1;3;7;12;5;2002
AT1;AT13;AT130;90301;00000000;1;HUN;2;7;21;14;-5;4;6;14;17;12;2002
AT1;AT13;AT130;90301;00000000;1;BGR;2;13;18;5;-11;2;1;7;19;9;2002
AT1;AT13;AT130;90301;00000000;1;CZE;-5;-8;5;13;3;6;3;12;12;5;2002
AT1;AT13;AT130;90301;00000000;1;REST-EU;1;8;85;77;-7;9;12;52;56;8;2002
AT1;AT13;AT130;90301;00000000;1;SCG;-17;48;160;112;-65;26;15;157;233;76;2002
AT1;AT13;AT130;90301;00000000;1;TUR;61;93;123;30;-32;16;9;148;187;76;2002
AT1;AT13;AT130;90301;00000000;1;BIH;19;40;58;18;-21;8;6;51;74;20;2002
AT1;AT13;AT130;90301;00000000;1;HRV;-1;6;17;11;-7;4;3;9;17;8;2002
AT1;AT13;AT130;90301;00000000;1;MKD;1;17;23;6;-16;2;2;18;34;8;2002
AT1;AT13;AT130;90301;00000000;1;RUS;9;5;8;3;4;3;0;11;10;3;2002
AT1;AT13;AT130;90301;00000000;1;CHN;31;15;25;10;16;18;4;24;22;4;2002
AT1;AT13;AT130;90301;00000000;1;OTHER;111;75;315;240;36;66;30;409;409;82;2002
AT1;AT13;AT130;90401;00000000;2;AUT;-12;-35;40;75;23;285;194;457;525;137;2002
AT1;AT13;AT130;90401;00000000;2;DEU;25;29;45;16;-4;5;7;28;30;5;2002
AT1;AT13;AT130;90401;00000000;2;POL;4;3;12;9;1;2;0;16;17;1;2002
AT1;AT13;AT130;90401;00000000;2;ROU;14;16;21;5;-2;4;5;9;10;4;2002
AT1;AT13;AT130;90401;00000000;2;SVK;10;10;13;3;0;1;3;4;2;2;2002
AT1;AT13;AT130;90401;00000000;2;HUN;8;3;8;5;5;5;1;10;9;4;2002
AT1;AT13;AT130;90401;00000000;2;BGR;16;12;18;6;4;2;1;15;12;2;2002
AT1;AT13;AT130;90401;00000000;2;CZE;-5;4;7;3;-9;1;3;9;16;2;2002
AT1;AT13;AT130;90401;00000000;2;REST-EU;20;11;43;32;9;5;3;30;23;7;2002
AT1;AT13;AT130;90401;00000000;2;SCG;7;19;26;7;-12;2;5;35;44;7;2002
AT1;AT13;AT130;90401;00000000;2;TUR;-1;11;20;9;-12;0;3;18;27;6;2002
AT1;AT13;AT130;90401;00000000;2;BIH;4;5;10;5;-1;1;2;19;19;1;2002
AT1;AT13;AT130;90401;00000000;2;HRV;6;3;7;4;3;3;1;9;8;3;2002
AT1;AT13;AT130;90401;00000000;2;MKD;11;6;8;2;5;0;0;6;1;0;2002
AT1;AT13;AT130;90401;00000000;2;RUS;10;10;12;2;0;1;1;9;9;3;2002
AT1;AT13;AT130;90401;00000000;2;CHN;17;10;11;1;7;1;0;14;8;2;2002
AT1;AT13;AT130;90401;00000000;2;OTHER;72;57;99;42;15;17;5;96;93;18;2002
AT1;AT13;AT130;90401;00000000;1;AUT;26;-16;82;98;42;319;210;481;548;93;2002
AT1;AT13;AT130;90401;00000000;1;DEU;36;30;48;18;6;10;4;30;30;6;2002
AT1;AT13;AT130;90401;00000000;1;POL;-7;0;8;8;-7;1;1;7;14;0;2002
AT1;AT13;AT130;90401;00000000;1;ROU;7;5;9;4;2;5;3;8;8;4;2002
AT1;AT13;AT130;90401;00000000;1;SVK;6;5;6;1;1;0;0;4;3;2;2002
AT1;AT13;AT130;90401;00000000;1;HUN;6;-1;2;3;7;3;0;6;2;1;2002
AT1;AT13;AT130;90401;00000000;1;BGR;12;3;13;10;9;3;0;17;11;1;2002
AT1;AT13;AT130;90401;00000000;1;CZE;-5;-1;3;4;-4;1;2;4;7;0;2002
AT1;AT13;AT130;90401;00000000;1;REST-EU;19;22;65;43;-3;8;2;27;36;11;2002
AT1;AT13;AT130;90401;00000000;1;SCG;16;17;34;17;-1;4;1;47;51;10;2002
AT1;AT13;AT130;90401;00000000;1;TUR;23;25;31;6;-2;2;3;37;38;8;2002
AT1;AT13;AT130;90401;00000000;1;BIH;15;20;28;8;-5;1;0;23;29;2;2002
AT1;AT13;AT130;90401;00000000;1;HRV;4;1;3;2;3;0;0;6;3;1;2002
AT1;AT13;AT130;90401;00000000;1;MKD;2;6;10;4;-4;0;0;3;7;0;2002
AT1;AT13;AT130;90401;00000000;1;RUS;5;5;9;4;0;0;0;4;4;1;2002
AT1;AT13;AT130;90401;00000000;1;CHN;21;10;12;2;11;1;0;14;4;0;2002
AT1;AT13;AT130;90401;00000000;1;OTHER;63;64;109;45;-1;17;11;118;125;24;2002
AT1;AT13;AT130;90501;00000000;2;AUT;-171;-14;84;98;-157;476;354;810;1089;252;2002
AT1;AT13;AT130;90501;00000000;2;DEU;24;26;49;23;-2;8;16;39;33;13;2002
AT1;AT13;AT130;90501;00000000;2;POL;6;20;30;10;-14;6;6;34;48;2;2002
AT1;AT13;AT130;90501;00000000;2;ROU;20;19;24;5;1;9;7;17;18;0;2002
AT1;AT13;AT130;90501;00000000;2;SVK;20;21;25;4;-1;1;0;10;12;2;2002
AT1;AT13;AT130;90501;00000000;2;HUN;5;7;16;9;-2;3;3;14;16;3;2002
AT1;AT13;AT130;90501;00000000;2;BGR;23;27;32;5;-4;3;1;18;24;8;2002
AT1;AT13;AT130;90501;00000000;2;CZE;-13;1;7;6;-14;5;7;10;22;4;2002
AT1;AT13;AT130;90501;00000000;2;REST-EU;21;13;39;26;8;4;9;33;20;7;2002
AT1;AT13;AT130;90501;00000000;2;SCG;68;70;105;35;-2;14;13;163;166;69;2002
AT1;AT13;AT130;90501;00000000;2;TUR;67;109;119;10;-42;12;10;88;132;33;2002
AT1;AT13;AT130;90501;00000000;2;BIH;30;18;26;8;12;10;3;51;46;25;2002
AT1;AT13;AT130;90501;00000000;2;HRV;16;15;16;1;1;1;1;18;17;8;2002
AT1;AT13;AT130;90501;00000000;2;MKD;9;12;13;1;-3;0;1;11;13;6;2002
AT1;AT13;AT130;90501;00000000;2;RUS;8;7;9;2;1;5;1;7;10;1;2002
AT1;AT13;AT130;90501;00000000;2;CHN;34;21;26;5;13;14;6;23;18;8;2002
AT1;AT13;AT130;90501;00000000;2;OTHER;101;83;157;74;18;34;18;178;176;25;2002
AT1;AT13;AT130;90501;00000000;1;AUT;-110;-9;155;164;-101;468;354;929;1144;216;2002
AT1;AT13;AT130;90501;00000000;1;DEU;31;27;55;28;4;17;5;37;45;13;2002
AT1;AT13;AT130;90501;00000000;1;POL;1;6;28;22;-5;1;3;35;38;7;2002
AT1;AT13;AT130;90501;00000000;1;ROU;1;4;8;4;-3;7;5;13;18;1;2002
AT1;AT13;AT130;90501;00000000;1;SVK;4;5;8;3;-1;0;0;11;12;0;2002
AT1;AT13;AT130;90501;00000000;1;HUN;18;16;20;4;2;4;2;11;11;1;2002
AT1;AT13;AT130;90501;00000000;1;BGR;22;19;26;7;3;2;1;15;13;1;2002
AT1;AT13;AT130;90501;00000000;1;CZE;4;8;13;5;-4;3;7;6;6;1;2002
AT1;AT13;AT130;90501;00000000;1;REST-EU;31;28;54;26;3;7;8;36;32;6;2002
AT1;AT13;AT130;90501;00000000;1;SCG;50;65;138;73;-15;16;17;180;194;75;2002
AT1;AT13;AT130;90501;00000000;1;TUR;46;105;131;26;-59;29;15;166;239;49;2002
AT1;AT13;AT130;90501;00000000;1;BIH;44;49;58;9;-5;11;8;76;84;53;2002
AT1;AT13;AT130;90501;00000000;1;HRV;12;16;24;8;-4;2;0;13;19;7;2002
AT1;AT13;AT130;90501;00000000;1;MKD;10;11;17;6;-1;0;1;22;22;4;2002
AT1;AT13;AT130;90501;00000000;1;RUS;11;2;4;2;9;2;1;13;5;3;2002
AT1;AT13;AT130;90501;00000000;1;CHN;4;14;18;4;-10;6;11;15;20;5;2002
AT1;AT13;AT130;90501;00000000;1;OTHER;127;52;150;98;75;49;22;323;275;51;2002
AT1;AT13;AT130;90601;00000000;2;AUT;-36;-5;53;58;-31;328;204;481;636;104;2002
AT1;AT13;AT130;90601;00000000;2;DEU;26;27;46;19;-1;10;4;29;36;9;2002
AT1;AT13;AT130;90601;00000000;2;POL;8;11;18;7;-3;2;3;27;29;6;2002
AT1;AT13;AT130;90601;00000000;2;ROU;6;12;14;2;-6;3;5;9;13;3;2002
AT1;AT13;AT130;90601;00000000;2;SVK;-8;0;15;15;-8;0;1;5;12;2;2002
AT1;AT13;AT130;90601;00000000;2;HUN;13;11;16;5;2;2;2;6;4;1;2002
AT1;AT13;AT130;90601;00000000;2;BGR;-8;12;21;9;-20;1;2;9;28;2;2002
AT1;AT13;AT130;90601;00000000;2;CZE;3;-3;3;6;6;2;1;8;3;1;2002
AT1;AT13;AT130;90601;00000000;2;REST-EU;-11;-1;28;29;-10;4;1;21;34;7;2002
AT1;AT13;AT130;90601;00000000;2;SCG;12;23;35;12;-11;6;3;49;63;5;2002
AT1;AT13;AT130;90601;00000000;2;TUR;13;24;30;6;-11;4;2;25;38;5;2002
AT1;AT13;AT130;90601;00000000;2;BIH;-5;13;15;2;-18;1;4;12;27;5;2002
AT1;AT13;AT130;90601;00000000;2;HRV;5;6;9;3;-1;0;1;8;8;2;2002
AT1;AT13;AT130;90601;00000000;2;MKD;3;3;4;1;0;0;0;4;4;0;2002
AT1;AT13;AT130;90601;00000000;2;RUS;-1;0;4;4;-1;1;0;5;7;0;2002
AT1;AT13;AT130;90601;00000000;2;CHN;23;32;34;2;-9;3;2;14;24;3;2002
AT1;AT13;AT130;90601;00000000;2;OTHER;74;51;90;39;23;23;15;92;77;21;2002
AT1;AT13;AT130;90601;00000000;1;AUT;23;14;109;95;9;313;203;549;650;96;2002
AT1;AT13;AT130;90601;00000000;1;DEU;45;31;58;27;14;15;7;36;30;8;2002
AT1;AT13;AT130;90601;00000000;1;POL;6;4;19;15;2;2;1;27;26;7;2002
AT1;AT13;AT130;90601;00000000;1;ROU;-3;4;10;6;-7;1;1;5;12;2;2002
AT1;AT13;AT130;90601;00000000;1;SVK;-2;-4;4;8;2;2;0;5;5;0;2002
AT1;AT13;AT130;90601;00000000;1;HUN;-14;-17;5;22;3;3;1;8;7;0;2002
AT1;AT13;AT130;90601;00000000;1;BGR;-1;18;24;6;-19;2;1;9;29;2;2002
AT1;AT13;AT130;90601;00000000;1;CZE;10;1;4;3;9;3;0;6;0;2;2002
AT1;AT13;AT130;90601;00000000;1;REST-EU;-4;9;41;32;-13;4;7;18;28;5;2002
AT1;AT13;AT130;90601;00000000;1;SCG;-1;28;50;22;-29;7;7;44;73;4;2002
AT1;AT13;AT130;90601;00000000;1;TUR;32;38;43;5;-6;12;6;73;85;8;2002
AT1;AT13;AT130;90601;00000000;1;BIH;5;8;18;10;-3;3;1;16;21;2;2002
AT1;AT13;AT130;90601;00000000;1;HRV;3;2;8;6;1;1;1;7;6;3;2002
AT1;AT13;AT130;90601;00000000;1;MKD;6;5;8;3;1;1;1;8;7;0;2002
AT1;AT13;AT130;90601;00000000;1;RUS;-8;-3;0;3;-5;1;0;2;8;1;2002
AT1;AT13;AT130;90601;00000000;1;CHN;20;25;26;1;-5;3;1;7;14;3;2002
AT1;AT13;AT130;90601;00000000;1;OTHER;42;17;84;67;25;24;14;153;138;14;2002
AT1;AT13;AT130;90701;00000000;2;AUT;4;-19;44;63;23;354;190;553;694;121;2002
AT1;AT13;AT130;90701;00000000;2;DEU;4;29;45;16;-25;7;11;30;51;6;2002
AT1;AT13;AT130;90701;00000000;2;POL;4;12;18;6;-8;0;2;14;20;0;2002
AT1;AT13;AT130;90701;00000000;2;ROU;19;20;22;2;-1;2;1;11;13;2;2002
AT1;AT13;AT130;90701;00000000;2;SVK;2;8;10;2;-6;0;1;7;12;1;2002
AT1;AT13;AT130;90701;00000000;2;HUN;-6;0;8;8;-6;1;3;8;12;1;2002
AT1;AT13;AT130;90701;00000000;2;BGR;14;9;12;3;5;0;0;18;13;3;2002
AT1;AT13;AT130;90701;00000000;2;CZE;2;1;6;5;1;1;2;10;8;3;2002
AT1;AT13;AT130;90701;00000000;2;REST-EU;-2;-4;25;29;2;3;3;25;23;0;2002
AT1;AT13;AT130;90701;00000000;2;SCG;-28;27;51;24;-55;2;6;45;96;3;2002
AT1;AT13;AT130;90701;00000000;2;TUR;-5;29;35;6;-34;5;4;27;62;7;2002
AT1;AT13;AT130;90701;00000000;2;BIH;-7;5;10;5;-12;4;1;20;35;3;2002
AT1;AT13;AT130;90701;00000000;2;HRV;7;6;8;2;1;1;1;7;6;0;2002
AT1;AT13;AT130;90701;00000000;2;MKD;-3;4;5;1;-7;1;0;5;13;0;2002
AT1;AT13;AT130;90701;00000000;2;RUS;6;11;14;3;-5;1;0;3;9;0;2002
AT1;AT13;AT130;90701;00000000;2;CHN;-1;7;8;1;-8;1;1;9;17;1;2002
AT1;AT13;AT130;90701;00000000;2;OTHER;44;76;109;33;-32;16;13;72;107;21;2002
AT1;AT13;AT130;90701;00000000;1;AUT;-74;-9;91;100;-65;283;201;556;703;144;2002
AT1;AT13;AT130;90701;00000000;1;DEU;10;21;40;19;-11;15;6;20;40;8;2002
AT1;AT13;AT130;90701;00000000;1;POL;-16;2;11;9;-18;5;3;13;33;1;2002
AT1;AT13;AT130;90701;00000000;1;ROU;11;15;20;5;-4;5;5;8;12;0;2002
AT1;AT13;AT130;90701;00000000;1;SVK;0;1;5;4;-1;2;1;3;5;1;2002
AT1;AT13;AT130;90701;00000000;1;HUN;-13;-4;5;9;-9;1;3;2;9;2;2002
AT1;AT13;AT130;90701;00000000;1;BGR;12;8;11;3;4;0;1;12;7;2;2002
AT1;AT13;AT130;90701;00000000;1;CZE;-6;-2;2;4;-4;1;2;2;5;1;2002
AT1;AT13;AT130;90701;00000000;1;REST-EU;28;17;49;32;11;5;2;30;22;6;2002
AT1;AT13;AT130;90701;00000000;1;SCG;-33;7;43;36;-40;3;3;59;99;9;2002
AT1;AT13;AT130;90701;00000000;1;TUR;8;23;36;13;-15;7;6;58;74;8;2002
AT1;AT13;AT130;90701;00000000;1;BIH;-7;11;18;7;-18;5;4;19;38;2;2002
AT1;AT13;AT130;90701;00000000;1;HRV;5;4;7;3;1;1;0;2;2;2;2002
AT1;AT13;AT130;90701;00000000;1;MKD;-2;4;7;3;-6;0;0;8;14;0;2002
AT1;AT13;AT130;90701;00000000;1;RUS;10;13;16;3;-3;2;2;4;7;0;2002
AT1;AT13;AT130;90701;00000000;1;CHN;10;14;16;2;-4;2;4;15;17;0;2002
AT1;AT13;AT130;90701;00000000;1;OTHER;31;62;114;52;-31;23;21;130;163;12;2002
AT1;AT13;AT130;90801;00000000;2;AUT;29;5;50;45;24;278;182;376;448;108;2002
AT1;AT13;AT130;90801;00000000;2;DEU;22;20;37;17;2;8;10;28;24;8;2002
AT1;AT13;AT130;90801;00000000;2;POL;11;13;19;6;-2;2;1;12;15;2;2002
AT1;AT13;AT130;90801;00000000;2;ROU;14;13;16;3;1;2;2;13;12;0;2002
AT1;AT13;AT130;90801;00000000;2;SVK;11;12;14;2;-1;0;2;4;3;1;2002
AT1;AT13;AT130;90801;00000000;2;HUN;2;5;6;1;-3;1;1;4;7;0;2002
AT1;AT13;AT130;90801;00000000;2;BGR;-5;5;13;8;-10;0;1;10;19;1;2002
AT1;AT13;AT130;90801;00000000;2;CZE;-5;4;8;4;-9;0;1;3;11;1;2002
AT1;AT13;AT130;90801;00000000;2;REST-EU;-4;-5;52;57;1;2;5;34;30;9;2002
AT1;AT13;AT130;90801;00000000;2;SCG;25;24;34;10;1;1;1;31;30;8;2002
AT1;AT13;AT130;90801;00000000;2;TUR;11;10;16;6;1;5;2;15;17;6;2002
AT1;AT13;AT130;90801;00000000;2;BIH;12;11;17;6;1;2;1;15;15;1;2002
AT1;AT13;AT130;90801;00000000;2;HRV;7;3;4;1;4;1;0;6;3;1;2002
AT1;AT13;AT130;90801;00000000;2;MKD;9;2;4;2;7;0;2;10;1;0;2002
AT1;AT13;AT130;90801;00000000;2;RUS;9;7;10;3;2;0;1;10;7;1;2002
AT1;AT13;AT130;90801;00000000;2;CHN;10;23;28;5;-13;1;0;20;34;1;2002
AT1;AT13;AT130;90801;00000000;2;OTHER;67;73;135;62;-6;14;15;85;90;10;2002
AT1;AT13;AT130;90801;00000000;1;AUT;237;159;265;106;78;273;176;457;476;137;2002
AT1;AT13;AT130;90801;00000000;1;DEU;18;26;57;31;-8;8;8;15;23;3;2002
AT1;AT13;AT130;90801;00000000;1;POL;20;32;47;15;-12;0;4;17;25;1;2002
AT1;AT13;AT130;90801;00000000;1;ROU;22;25;36;11;-3;3;5;13;14;0;2002
AT1;AT13;AT130;90801;00000000;1;SVK;14;7;11;4;7;2;0;6;1;0;2002
AT1;AT13;AT130;90801;00000000;1;HUN;3;2;13;11;1;3;0;3;5;1;2002
AT1;AT13;AT130;90801;00000000;1;BGR;4;17;27;10;-13;0;3;9;19;4;2002
AT1;AT13;AT130;90801;00000000;1;CZE;0;0;4;4;0;2;4;2;0;1;2002
AT1;AT13;AT130;90801;00000000;1;REST-EU;4;11;73;62;-7;3;7;29;32;10;2002
AT1;AT13;AT130;90801;00000000;1;SCG;16;23;48;25;-7;4;6;51;56;10;2002
AT1;AT13;AT130;90801;00000000;1;TUR;31;25;39;14;6;5;4;33;28;4;2002
AT1;AT13;AT130;90801;00000000;1;BIH;23;22;30;8;1;1;4;21;17;2;2002
AT1;AT13;AT130;90801;00000000;1;HRV;7;7;8;1;0;1;2;5;4;2;2002
AT1;AT13;AT130;90801;00000000;1;MKD;11;3;6;3;8;0;3;14;3;1;2002
