Wanderung gegenüber Wien nach Zählbezirken, Staatsangehörigkeit und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, nationality and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010103;2;ROU;3;2;2;0;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;2;SVK;0;0;1;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;2;HUN;0;1;2;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BGR;2;1;1;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010103;2;REST-EU;3;2;6;4;1;0;0;2;1;3;2007
AT1;AT13;AT130;00000;9010103;2;SCG;2;4;4;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;2;TUR;2;1;1;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BIH;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;MKD;0;0;0;0;0;0;0;2;2;1;2007
AT1;AT13;AT130;00000;9010103;2;RUS;3;0;0;0;3;2;1;5;3;0;2007
AT1;AT13;AT130;00000;9010103;2;CHN;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;2;OTHER;-4;-2;7;9;-2;1;0;6;9;1;2007
AT1;AT13;AT130;00000;9010103;1;AUT;-8;-11;8;19;3;7;5;36;35;3;2007
AT1;AT13;AT130;00000;9010103;1;DEU;2;1;6;5;1;0;0;4;3;0;2007
AT1;AT13;AT130;00000;9010103;1;POL;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;1;ROU;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010103;1;SVK;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;1;HUN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;1;BGR;-1;1;1;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;1;REST-EU;3;5;10;5;-2;0;1;1;2;0;2007
AT1;AT13;AT130;00000;9010103;1;SCG;-1;-1;0;1;0;0;0;4;4;0;2007
AT1;AT13;AT130;00000;9010103;1;TUR;3;0;0;0;3;0;0;3;0;0;2007
AT1;AT13;AT130;00000;9010103;1;BIH;-3;0;0;0;-3;0;0;1;4;0;2007
AT1;AT13;AT130;00000;9010103;1;HRV;-4;1;1;0;-5;0;0;0;5;0;2007
AT1;AT13;AT130;00000;9010103;1;MKD;-2;0;1;1;-2;0;0;2;4;0;2007
AT1;AT13;AT130;00000;9010103;1;RUS;4;2;3;1;2;1;0;4;3;0;2007
AT1;AT13;AT130;00000;9010103;1;CHN;-1;0;0;0;-1;1;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;1;OTHER;-11;-6;5;11;-5;0;0;4;9;0;2007
AT1;AT13;AT130;00000;9010104;2;AUT;-4;-2;2;4;-2;8;11;28;27;2;2007
AT1;AT13;AT130;00000;9010104;2;DEU;-5;1;2;1;-6;1;0;0;7;0;2007
AT1;AT13;AT130;00000;9010104;2;POL;-3;-2;0;2;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010104;2;SVK;-2;-2;0;2;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;2;HUN;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;2;CZE;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010104;2;REST-EU;-1;-1;2;3;0;0;0;3;3;0;2007
AT1;AT13;AT130;00000;9010104;2;SCG;0;0;0;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010104;2;HRV;-1;1;1;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010104;2;MKD;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;2;CHN;1;0;0;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010104;2;OTHER;1;0;4;4;1;1;1;3;2;0;2007
AT1;AT13;AT130;00000;9010104;1;AUT;-14;4;7;3;-18;10;13;29;44;1;2007
AT1;AT13;AT130;00000;9010104;1;DEU;-7;-1;4;5;-6;0;0;3;9;0;2007
AT1;AT13;AT130;00000;9010104;1;SVK;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;1;REST-EU;1;1;5;4;0;0;1;1;0;1;2007
AT1;AT13;AT130;00000;9010104;1;SCG;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010104;1;TUR;-2;0;0;0;-2;0;1;0;1;0;2007
AT1;AT13;AT130;00000;9010104;1;BIH;1;0;0;0;1;0;0;1;0;0;2007
