Herkunftsgebiet (Österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Zählbezirk ;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;91001;1002;2;9456;3926;223;725;55;151;95;40;29;14;15;4183;20110101
AT1;AT13;AT130;91001;1003;2;3572;1682;100;342;21;67;37;9;12;11;8;1283;20110101
AT1;AT13;AT130;91001;1004;2;3844;1447;86;270;43;60;49;24;17;12;5;1831;20110101
AT1;AT13;AT130;91001;1005;2;8804;3639;282;638;52;155;139;36;29;15;9;3810;20110101
AT1;AT13;AT130;91001;1006;2;5850;2030;136;374;37;83;73;12;20;16;7;3062;20110101
AT1;AT13;AT130;91001;1007;2;6074;2818;243;604;58;118;86;22;21;11;6;2087;20110101
AT1;AT13;AT130;91001;1008;2;4766;1885;133;360;32;97;65;29;14;10;6;2135;20110101
AT1;AT13;AT130;91001;1009;2;2485;1269;84;236;22;59;30;12;4;6;5;758;20110101
AT1;AT13;AT130;91001;1010;2;8396;4279;254;839;51;145;93;31;25;16;19;2644;20110101
AT1;AT13;AT130;91001;1011;2;4540;2607;107;348;31;67;40;21;11;8;13;1287;20110101
AT1;AT13;AT130;91001;1012;2;1237;575;42;100;13;37;24;9;7;4;0;426;20110101
AT1;AT13;AT130;91001;1013;2;2630;1705;66;234;22;45;19;7;4;4;4;520;20110101
AT1;AT13;AT130;91001;1014;2;2190;1412;58;215;18;48;23;4;8;3;10;391;20110101
AT1;AT13;AT130;91001;1015;2;2847;1733;75;234;16;61;26;13;6;5;5;673;20110101
AT1;AT13;AT130;91001;1016;2;3119;2070;78;283;20;59;38;16;11;4;5;535;20110101
AT1;AT13;AT130;91001;1017;2;450;342;10;37;4;9;4;1;0;1;2;40;20110101
AT1;AT13;AT130;91001;1018;2;2234;1440;78;225;27;57;39;10;8;8;3;339;20110101
AT1;AT13;AT130;91001;1019;2;1376;867;23;144;9;31;28;4;4;3;1;262;20110101
AT1;AT13;AT130;91001;1020;2;5240;3192;169;553;47;113;65;16;20;4;25;1036;20110101
AT1;AT13;AT130;91001;1021;2;3570;2299;87;347;33;92;53;9;11;7;2;630;20110101
AT1;AT13;AT130;91001;1022;2;3257;1224;103;258;37;70;73;23;12;6;6;1445;20110101
AT1;AT13;AT130;91001;1023;2;4891;2423;143;350;46;75;59;24;13;14;9;1735;20110101
AT1;AT13;AT130;91001;1099;2;264;164;9;36;6;4;2;2;0;0;0;41;20110101
AT1;AT13;AT130;91101;1101;2;863;279;29;97;25;40;48;12;7;7;1;318;20110101
AT1;AT13;AT130;91101;1102;2;6922;3414;176;578;36;126;88;28;13;11;8;2444;20110101
AT1;AT13;AT130;91101;1103;2;8131;3835;154;581;61;139;87;31;27;7;12;3197;20110101
AT1;AT13;AT130;91101;1104;2;2256;1074;60;288;12;40;19;5;5;3;1;749;20110101
AT1;AT13;AT130;91101;1105;2;5302;3156;148;491;36;84;55;21;8;2;7;1294;20110101
AT1;AT13;AT130;91101;1106;2;157;93;7;20;2;1;1;0;0;0;0;33;20110101
