Lebendgeburten in Wien gemeldeter Personen  nach Geschlecht und Wiener Zählbezirk;;;;;;
Life birth of residents in Vienna  by sex and Vienna subdistrict ;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;LIVEBIRTH;REF_YEAR
AT1;AT13;AT130;91701;1705;1;31;2010
AT1;AT13;AT130;91701;1706;1;9;2010
AT1;AT13;AT130;91701;1799;1;17;2010
AT1;AT13;AT130;91801;1801;1;11;2010
AT1;AT13;AT130;91801;1802;1;65;2010
AT1;AT13;AT130;91801;1803;1;78;2010
AT1;AT13;AT130;91801;1804;1;43;2010
AT1;AT13;AT130;91801;1805;1;37;2010
AT1;AT13;AT130;91801;1899;1;26;2010
AT1;AT13;AT130;91801;1910;1;1;2010
AT1;AT13;AT130;91901;1901;1;14;2010
AT1;AT13;AT130;91901;1902;1;31;2010
AT1;AT13;AT130;91901;1903;1;1;2010
AT1;AT13;AT130;91901;1904;1;53;2010
AT1;AT13;AT130;91901;1905;1;37;2010
AT1;AT13;AT130;91901;1906;1;23;2010
AT1;AT13;AT130;91901;1907;1;6;2010
AT1;AT13;AT130;91901;1908;1;28;2010
AT1;AT13;AT130;91901;1909;1;20;2010
AT1;AT13;AT130;91901;1910;1;29;2010
AT1;AT13;AT130;91901;1999;1;33;2010
AT1;AT13;AT130;92001;2001;1;63;2010
AT1;AT13;AT130;92001;2002;1;90;2010
AT1;AT13;AT130;92001;2003;1;90;2010
AT1;AT13;AT130;92001;2004;1;54;2010
AT1;AT13;AT130;92001;2005;1;70;2010
AT1;AT13;AT130;92001;2006;1;43;2010
AT1;AT13;AT130;92001;2007;1;74;2010
AT1;AT13;AT130;92001;2008;1;28;2010
AT1;AT13;AT130;92001;2099;1;46;2010
AT1;AT13;AT130;92101;2004;1;1;2010
AT1;AT13;AT130;92101;2102;1;27;2010
AT1;AT13;AT130;92101;2103;1;20;2010
AT1;AT13;AT130;92101;2104;1;7;2010
AT1;AT13;AT130;92101;2105;1;62;2010
AT1;AT13;AT130;92101;2106;1;4;2010
AT1;AT13;AT130;92101;2107;1;13;2010
AT1;AT13;AT130;92101;2108;1;5;2010
AT1;AT13;AT130;92101;2109;1;19;2010
AT1;AT13;AT130;92101;2110;1;24;2010
AT1;AT13;AT130;92101;2111;1;20;2010
AT1;AT13;AT130;92101;2112;1;35;2010
AT1;AT13;AT130;92101;2113;1;19;2010
AT1;AT13;AT130;92101;2114;1;11;2010
AT1;AT13;AT130;92101;2115;1;14;2010
AT1;AT13;AT130;92101;2116;1;3;2010
AT1;AT13;AT130;92101;2117;1;45;2010
AT1;AT13;AT130;92101;2118;1;34;2010
AT1;AT13;AT130;92101;2119;1;14;2010
AT1;AT13;AT130;92101;2120;1;11;2010
AT1;AT13;AT130;92101;2121;1;29;2010
AT1;AT13;AT130;92101;2122;1;37;2010
AT1;AT13;AT130;92101;2123;1;53;2010
AT1;AT13;AT130;92101;2124;1;9;2010
AT1;AT13;AT130;92101;2125;1;24;2010
AT1;AT13;AT130;92101;2126;1;33;2010
AT1;AT13;AT130;92101;2127;1;2;2010
AT1;AT13;AT130;92101;2128;1;1;2010
AT1;AT13;AT130;92101;2199;1;116;2010
AT1;AT13;AT130;92201;2201;1;10;2010
AT1;AT13;AT130;92201;2202;1;22;2010
AT1;AT13;AT130;92201;2203;1;5;2010
AT1;AT13;AT130;92201;2204;1;15;2010
AT1;AT13;AT130;92201;2205;1;20;2010
AT1;AT13;AT130;92201;2206;1;50;2010
AT1;AT13;AT130;92201;2207;1;15;2010
AT1;AT13;AT130;92201;2208;1;82;2010
AT1;AT13;AT130;92201;2209;1;66;2010
AT1;AT13;AT130;92201;2210;1;34;2010
AT1;AT13;AT130;92201;2211;1;33;2010
AT1;AT13;AT130;92201;2212;1;10;2010
AT1;AT13;AT130;92201;2213;1;34;2010
AT1;AT13;AT130;92201;2214;1;13;2010
AT1;AT13;AT130;92201;2215;1;31;2010
AT1;AT13;AT130;92201;2216;1;1;2010
AT1;AT13;AT130;92201;2217;1;1;2010
AT1;AT13;AT130;92201;2218;1;28;2010
AT1;AT13;AT130;92201;2219;1;31;2010
AT1;AT13;AT130;92201;2220;1;8;2010
AT1;AT13;AT130;92201;2221;1;2;2010
AT1;AT13;AT130;92201;2222;1;25;2010
AT1;AT13;AT130;92201;2223;1;15;2010
AT1;AT13;AT130;92201;2224;1;32;2010
AT1;AT13;AT130;92201;2225;1;5;2010
AT1;AT13;AT130;92201;2226;1;6;2010
AT1;AT13;AT130;92201;2227;1;29;2010
AT1;AT13;AT130;92201;2228;1;15;2010
AT1;AT13;AT130;92201;2229;1;9;2010
AT1;AT13;AT130;92201;2232;1;15;2010
AT1;AT13;AT130;92201;2299;1;79;2010
AT1;AT13;AT130;92301;2301;1;18;2010
AT1;AT13;AT130;92301;2302;1;22;2010
AT1;AT13;AT130;92301;2303;1;9;2010
AT1;AT13;AT130;92301;2304;1;41;2010
AT1;AT13;AT130;92301;2305;1;37;2010
AT1;AT13;AT130;92301;2306;1;5;2010
AT1;AT13;AT130;92301;2307;1;48;2010
AT1;AT13;AT130;92301;2308;1;16;2010
AT1;AT13;AT130;92301;2309;1;18;2010
AT1;AT13;AT130;92301;2310;1;17;2010
AT1;AT13;AT130;92301;2311;1;32;2010
AT1;AT13;AT130;92301;2312;1;33;2010
AT1;AT13;AT130;92301;2313;1;10;2010
AT1;AT13;AT130;92301;2314;1;27;2010
AT1;AT13;AT130;92301;2315;1;4;2010
AT1;AT13;AT130;92301;2316;1;2;2010
AT1;AT13;AT130;92301;2318;1;15;2010
AT1;AT13;AT130;92301;2319;1;34;2010
AT1;AT13;AT130;92301;2399;1;49;2010
AT1;AT13;AT130;90101;0101;2;14;2011
AT1;AT13;AT130;90101;0102;2;7;2011
AT1;AT13;AT130;90101;0103;2;6;2011
AT1;AT13;AT130;90101;0104;2;12;2011
AT1;AT13;AT130;90101;0105;2;10;2011
AT1;AT13;AT130;90101;0106;2;8;2011
AT1;AT13;AT130;90101;0107;2;7;2011
AT1;AT13;AT130;90101;0199;2;9;2011
AT1;AT13;AT130;90201;0201;2;50;2011
AT1;AT13;AT130;90201;0202;2;67;2011
AT1;AT13;AT130;90201;0203;2;65;2011
