Gebäude in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buildings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;OBJ_TYP_1WOHN;OBJ_TYP_2WOHN;OBJ_TYP_3WOHN;OBJ_TYP_GEMEIN;OBJ_TYP_GEWERBL;OBJ_WSA_MITHWS;OBJ_WSA_OHNEHWS;OBJ_ANZWHG_KEINE;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3BIS5;OBJ_ANZWHG_6BIS10;OBJ_ANZWHG_11BIS20;OBJ_ANZWHG_21MEHR;OBJ_EIGENT_PRIVAT;OBJ_EIGENT_OEFFENTL;OBJ_EIGENT_GEMEINN;OBJ_EIGENT_SONSTIGE;OBJ_FLNETTO_BIS199;OBJ_FLNETTO_200BIS299;OBJ_FLNETTO_300BIS499;OBJ_FLNETTO_500BIS999;OBJ_FLNETTO_1000BIS;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6BIS10;OBJ_ANZGESCHO_11BIS;OBJ_BAUP_BIS1918;OBJ_BAUP_1919BIS1944;OBJ_BAUP_1945BIS1960;OBJ_BAUP_1961BIS1970;OBJ_BAUP_1971BIS1980;OBJ_BAUP_1981BIS1990;OBJ_BAUP_1991BIS2000;OBJ_BAUP_2001BIS
AT1;AT13;AT130;11;1105;91101;9110105;443;37;403;1;61;819;126;52;449;40;49;172;137;46;396;380;145;24;477;97;128;152;91;362;174;133;149;66;60;1;44;314;187;146;53;75;52;74
AT1;AT13;AT130;11;1106;91101;9110106;75;0;11;0;33;84;35;31;76;1;3;6;2;0;83;27;1;8;83;6;6;12;12;61;47;8;3;0;0;0;13;6;3;0;4;7;62;24
AT1;AT13;AT130;11;1107;91101;9110107;999;26;149;1;47;751;471;38;1007;26;16;17;67;51;947;202;33;40;1039;20;15;50;98;899;163;32;26;18;75;9;65;197;336;174;92;100;99;159
AT1;AT13;AT130;11;1108;91101;9110108;69;0;15;4;36;88;36;34;74;1;0;2;4;9;11;4;80;29;74;3;6;16;25;88;8;11;2;3;12;0;2;4;6;0;15;8;72;17
AT1;AT13;AT130;11;1109;91101;9110109;289;37;53;3;39;324;97;32;297;38;19;7;22;6;318;21;76;6;277;53;39;21;31;284;85;20;7;9;16;0;57;28;53;28;53;52;74;76
AT1;AT13;AT130;11;1110;91101;9110110;537;38;469;4;104;996;156;83;554;42;35;78;139;221;546;218;331;57;590;41;58;121;342;367;302;86;55;59;256;27;27;51;71;121;201;183;306;192
AT1;AT13;AT130;11;1111;91101;9110111;323;25;115;6;66;363;172;52;333;30;13;33;53;21;353;99;49;34;350;25;29;78;53;316;98;35;30;38;18;0;86;51;77;31;97;36;51;106
AT1;AT13;AT130;11;1112;91101;9110112;72;13;14;2;48;81;68;45;76;13;10;5;0;0;111;7;5;26;90;15;11;8;25;112;27;8;1;0;1;0;13;27;25;16;12;27;12;17
AT1;AT13;AT130;11;1113;91101;9110113;444;15;110;1;43;481;132;35;449;18;5;38;45;23;501;21;77;14;456;24;21;70;42;372;101;42;38;22;35;3;20;58;75;98;59;176;67;60
AT1;AT13;AT130;12;1201;91201;9120101;5;7;158;4;69;194;49;40;19;15;21;39;87;22;175;28;11;29;30;13;30;94;76;24;44;32;37;32;74;0;106;13;27;44;17;11;6;19
AT1;AT13;AT130;12;1202;91201;9120102;5;5;511;3;54;528;50;39;12;7;15;59;311;135;270;230;39;39;18;11;38;284;227;31;16;21;84;96;330;0;201;204;59;18;31;22;25;18
AT1;AT13;AT130;12;1203;91201;9120103;0;4;180;4;18;185;21;20;0;4;3;48;107;24;4;199;0;3;9;3;27;129;38;17;9;15;37;62;65;1;4;98;89;2;6;3;3;1
AT1;AT13;AT130;12;1204;91201;9120104;21;25;366;4;162;427;151;113;36;38;61;101;178;51;445;59;25;49;107;46;91;203;131;92;107;88;81;77;133;0;256;44;102;68;30;37;22;19
AT1;AT13;AT130;12;1205;91201;9120105;6;5;304;0;77;334;58;49;14;12;17;75;144;81;235;53;46;58;20;11;36;163;162;29;28;33;89;89;123;1;176;33;41;71;16;25;16;14
AT1;AT13;AT130;12;1206;91201;9120106;16;10;352;3;72;397;56;42;29;17;37;79;185;64;357;27;26;43;26;19;48;174;186;19;57;54;116;102;104;1;295;23;24;25;34;16;13;23
AT1;AT13;AT130;12;1207;91201;9120107;66;32;371;3;34;452;54;24;68;32;98;154;111;19;159;257;70;20;129;66;83;172;56;63;145;133;69;39;57;0;36;211;126;63;17;20;14;19
AT1;AT13;AT130;12;1208;91201;9120108;356;9;141;1;87;331;263;76;361;12;6;28;82;29;437;72;21;64;398;6;21;84;85;359;54;26;58;41;56;0;92;70;105;94;59;67;51;56
